assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
3,25,0,0,0,2,8856,8196,0
4,76,0,0,0,22,10166,10883,0
16,120,3,1,28,2,20957,17042,1
14,20,2,3,17,2,9646,9866,1
8,99,9,3,47,2,11642,13818,1
11,81,5,3,65,2,16271,18828,1
14,29,2,1,15,2,18055,14144,1
5,19,7,3,22,2,16912,16365,1
12,16,4,3,11,2,16946,14352,1
1,14,2,1,0,2,4241,4589,0
5,58,2,1,17,2,11304,10596,1
0,111,0,2,0,2,0,5966,1
18,17,8,3,74,2,23808,18382,1
18,19,8,3,5,2,17470,15381,1
5,53,2,3,40,2,7124,9064,0
4,91,2,3,12,2,7456,6242,0
23,120,8,3,34,2,24341,19900,1
6,62,2,3,0,2,4036,4299,0
20,86,2,2,6,2,16532,12618,0
3,53,1,1,27,2,9383,10309,0
21,103,7,2,24,2,16122,14442,1
10,103,6,1,8,2,11508,11434,0
6,91,0,2,5,2,8659,6510,0
2,83,3,1,7,2,5860,4998,0
21,83,1,1,7,2,12909,10319,1
1,23,0,2,5,2,3601,3102,0
13,114,1,4,17,2,18344,13968,0
12,28,3,2,10,2,15117,12388,1
15,55,0,0,0,2,26727,21726,0
12,55,2,3,31,2,11947,11947,1
8,55,2,1,40,2,14533,14374,0
5,100,0,0,0,2,18560,15258,0
14,55,4,3,36,2,20245,20904,1
9,51,3,3,18,2,8721,10855,1
1,2,5,4,67,2,13322,12268,0
18,51,0,0,0,2,12859,12448,1
10,71,4,3,26,2,15003,12587,0
6,85,5,3,1,2,11375,11111,0
4,61,0,0,0,2,20316,18926,1
4,51,1,3,4,2,7078,6236,0
8,55,2,3,61,2,12118,13213,1
3,3,5,3,1,2,10145,9751,1
11,100,5,1,11,2,19053,17799,1
14,100,6,3,27,2,27077,18468,1
11,100,2,1,3,2,10354,9283,1
6,2,7,3,107,2,18254,17739,1
9,61,10,3,103,2,19609,18963,1
0,100,2,1,0,2,6009,6209,0
15,85,5,1,4,2,12716,13709,1
16,55,5,3,64,2,18572,18377,1
14,55,3,3,50,2,18280,17053,1
7,55,3,1,32,2,12981,11839,1
13,100,6,3,4,2,13671,11913,1
6,100,2,1,23,2,23108,18382,0
9,100,12,1,44,2,16797,17128,1
9,100,4,1,36,2,19666,19336,1
12,100,5,1,12,2,16485,13206,1
12,51,5,3,24,2,19664,18357,1
6,23,2,1,3,2,6750,7607,1
13,55,4,3,41,2,21700,21380,1
15,51,2,1,3,2,9833,9733,1
1,99,1,3,60,2,19326,18035,0
9,100,2,1,10,2,12381,12303,0
13,85,3,3,2,2,13115,11323,1
20,51,7,1,12,2,16016,16731,0
12,51,4,0,0,2,9100,10192,1
