assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
14,14,8,3,4,2,7937,8687,1
31,28,5,4,5,2,15823,11603,1
12,11,0,0,0,2,25432,22024,0
17,72,0,0,0,16,32357,28318,1
13,95,0,0,0,16,24099,21430,1
23,87,0,0,0,2,14443,12691,1
9,83,0,0,0,2,11522,8820,0
0,107,0,2,0,2,0,4307,0
10,107,2,2,6,1,9443,8515,0
13,100,3,2,2,2,8195,7418,0
10,100,3,2,1,2,7924,6873,0
11,39,4,3,22,1,18329,11226,0
9,51,9,2,0,1,9535,7747,0
13,60,3,2,27,2,12667,8944,1
9,88,5,3,0,2,9850,7735,0
7,60,3,2,7,2,6120,6150,0
15,62,0,2,0,2,10686,9869,0
16,7,1,2,14,2,11408,8926,0
7,23,1,1,2,2,15628,9526,0
17,37,2,1,12,2,9003,11102,1
13,107,2,2,3,2,10167,9116,0
17,107,5,2,0,2,10404,10962,1
8,9,2,2,28,2,10682,12279,0
19,103,0,2,3,2,10972,10261,0
1,15,0,0,0,1,7557,8323,0
5,68,0,0,0,2,12427,10616,0
21,103,5,2,11,2,16214,13953,0
8,6,0,0,0,2,20726,19861,1
17,111,10,1,3,2,14578,11324,0
22,58,13,1,61,2,24740,20532,1
21,11,0,0,0,2,27447,26233,0
19,110,0,0,0,22,19237,13208,0
19,32,10,2,1,2,15109,12365,1
16,103,2,1,3,2,7238,7263,1
3,66,1,4,91,2,6603,10880,0
7,33,3,2,139,2,16827,16235,1
11,13,1,3,14,2,14636,11511,0
20,33,9,4,95,2,20983,19832,1
4,121,0,3,36,2,7093,7812,0
23,107,3,2,2,2,11768,10644,1
3,107,2,2,0,2,4417,3933,0
8,100,1,1,0,2,3186,2809,0
17,91,4,1,7,2,21354,10384,1
13,97,1,3,10,2,12009,8361,1
10,100,5,3,3,2,11902,9930,0
11,38,1,1,21,2,6956,7870,1
1,105,0,1,18,2,4652,3859,0
9,105,0,3,17,2,15157,10168,1
7,60,2,2,20,1,10718,7690,0
5,60,0,2,54,2,15261,11333,0
8,91,4,2,18,2,12078,9793,0
6,58,1,2,79,2,12009,11509,0
19,69,6,2,89,2,40051,36302,1
14,58,4,5,31,2,11400,11341,1
5,90,0,1,75,2,10741,10536,0
9,58,2,2,69,2,16019,11811,0
17,23,1,2,10,2,19164,12453,1
19,107,2,2,5,2,12291,10494,0
6,66,1,2,65,2,5740,6286,0
11,107,2,2,0,2,11986,10681,0
11,37,4,1,9,2,9100,8008,1
7,33,3,2,139,2,16827,16235,1
11,13,1,3,14,2,14636,11511,0
20,33,9,4,95,2,20983,19832,1
4,121,0,3,36,2,7093,7812,0
23,107,3,2,2,2,11768,10644,1
8,100,1,1,0,2,3186,2809,0
3,107,2,2,0,2,4417,3933,0
17,91,4,1,7,2,21354,10384,1
13,97,1,3,10,2,12009,8361,1
10,100,5,3,3,2,11902,9930,0
11,38,1,1,21,2,6956,7870,1
1,105,0,1,18,2,4652,3859,0
9,105,0,3,17,2,15157,10168,1
5,60,0,2,54,2,15261,11333,0
7,60,2,2,20,1,10718,7690,0
6,58,1,2,79,2,12009,11509,0
8,91,4,2,18,2,12078,9793,0
19,69,6,2,89,2,40051,36302,1
14,58,4,5,31,2,11400,11341,1
5,90,0,1,75,2,10741,10536,0
9,58,2,2,69,2,16019,11811,0
17,23,1,2,10,2,19164,12453,1
19,107,2,2,5,2,12291,10494,0
6,66,1,2,65,2,5740,6286,0
11,107,2,2,0,2,11986,10681,0
11,37,4,1,9,2,9100,8008,1
7,33,3,2,139,2,16827,16235,1
11,13,1,3,14,2,14636,11511,0
20,33,9,4,95,2,20983,19832,1
4,121,0,3,36,2,7093,7812,0
23,107,3,2,2,2,11768,10644,1
8,100,1,1,0,2,3186,2809,0
3,107,2,2,0,2,4417,3933,0
17,91,4,1,7,2,21354,10384,1
10,100,5,3,3,2,11902,9930,0
13,97,1,3,10,2,12009,8361,1
5,60,0,2,54,2,15261,11333,0
7,60,2,2,20,1,10718,7690,0
8,91,4,2,18,2,12078,9793,0
6,58,1,2,79,2,12009,11509,0
14,58,4,5,31,2,11400,11341,1
19,69,6,2,89,2,40051,36302,1
5,90,0,1,75,2,10741,10536,0
9,58,2,2,69,2,16019,11811,0
17,23,1,2,10,2,19164,12453,1
13,30,0,0,0,2,10750,8942,1
6,14,4,2,5,2,7973,7145,0
0,107,0,2,0,2,0,4307,0
10,107,2,2,6,1,9443,8515,0
10,107,2,2,6,1,9443,8515,0
0,107,0,2,0,2,0,4307,0
8,101,6,1,12,2,8621,6698,0
11,89,1,2,8,2,8571,6613,0
17,66,2,3,90,2,10593,8460,1
16,21,9,1,37,2,21164,15012,1
12,16,2,3,15,2,15443,12296,0
13,66,2,1,42,2,7553,7553,0
10,66,1,4,58,2,20162,17125,0
22,16,6,1,57,2,15708,13209,1
14,89,1,1,1,2,5575,6464,0
10,16,2,3,15,2,11292,11707,1
13,100,3,2,2,2,8195,7418,0
10,100,3,2,1,2,7924,6873,0
11,39,4,3,22,1,18329,11226,0
9,51,9,2,0,1,9535,7747,0
9,88,5,3,0,2,9850,7735,0
13,60,3,2,27,2,12667,8944,1
7,60,3,2,7,2,6120,6150,0
15,62,0,2,0,2,10686,9869,0
7,23,1,1,2,2,15628,9526,0
