assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
13,96,6,3,70,2,20395,18620,0
4,78,4,3,14,2,9496,9910,0
9,19,9,1,37,2,19194,16433,1
10,19,5,3,28,2,13126,13221,1
3,70,6,3,31,2,10293,9946,0
19,58,19,1,105,2,34330,27224,1
10,120,4,1,11,2,19170,16937,0
3,4,0,1,37,2,10095,11348,0
21,69,8,3,41,2,18877,17919,1
24,60,4,1,18,2,12797,10284,0
12,2,8,3,69,2,21912,14457,1
12,38,4,1,67,2,20202,16883,1
20,2,9,3,56,2,26443,17505,1
16,16,3,1,33,2,17846,15534,1
4,38,4,3,18,2,12759,9105,0
17,2,7,3,59,2,20094,14549,1
8,78,4,1,31,2,10709,10446,0
15,57,4,3,3,2,13223,13818,1
12,108,3,1,14,2,12340,13292,1
4,38,2,1,21,2,8097,8496,0
14,102,5,1,20,2,17688,13436,1
19,19,4,3,6,2,13318,10869,1
4,38,0,0,0,2,6278,8431,1
9,69,2,3,22,2,8946,8520,0
8,60,3,1,8,2,11137,9360,0
14,58,8,1,39,2,24724,19905,0
5,57,2,1,3,2,10511,8172,0
18,108,5,3,25,2,26508,19913,0
15,9,14,3,34,22,20766,17541,1
20,29,2,3,55,3,27533,17890,1
14,55,5,1,31,2,23536,19344,1
15,29,3,3,60,2,22960,14580,1
12,28,2,3,23,2,13049,12257,0
19,96,6,3,73,2,27636,20929,1
15,55,7,1,48,2,24839,20836,1
8,2,4,3,106,2,17530,17484,0
8,19,2,3,69,2,18607,16164,0
1,45,2,1,0,2,5533,6011,0
2,36,0,3,6,2,4651,4630,0
14,51,4,1,1,2,16240,13804,1
15,78,7,1,58,2,21701,21051,1
16,16,2,1,4,2,10638,9931,0
1,57,1,3,20,2,9658,9624,0
14,55,5,1,31,2,23536,19344,1
15,29,3,3,60,2,22960,14580,1
19,96,6,3,73,2,27636,20929,1
12,28,2,3,23,2,13049,12257,0
15,55,7,1,48,2,24839,20836,1
8,2,4,3,106,2,17530,17484,0
8,19,2,3,69,2,18607,16164,0
1,45,2,1,0,2,5533,6011,0
2,36,0,3,6,2,4651,4630,0
14,51,4,1,1,2,16240,13804,1
15,78,7,1,58,2,21701,21051,1
1,57,1,3,20,2,9658,9624,0
16,16,2,1,4,2,10638,9931,0
16,70,19,1,61,22,27960,26235,1
14,55,5,1,31,2,23536,19344,1
15,29,3,3,60,2,22960,14580,1
8,2,4,3,106,2,17530,17484,0
8,19,2,3,69,2,18607,16164,0
1,45,2,1,0,2,5533,6011,0
2,36,0,3,6,2,4651,4630,0
14,51,4,1,1,2,16240,13804,1
15,78,7,1,58,2,21701,21051,1
17,55,0,0,0,3,17985,16982,1
15,14,0,0,0,3,8630,7532,0
16,16,2,1,4,2,10638,9931,0
1,57,1,3,20,2,9658,9624,0
13,96,6,3,70,2,20395,18620,0
4,78,4,3,14,2,9496,9910,0
10,19,5,3,28,2,13126,13221,1
9,19,9,1,37,2,19194,16433,1
19,58,19,1,105,2,34330,27224,1
13,96,6,3,70,2,20395,18620,0
4,78,4,3,14,2,9496,9910,0
10,19,5,3,28,2,13126,13221,1
9,19,9,1,37,2,19194,16433,1
19,58,19,1,105,2,34330,27224,1
10,120,4,1,11,2,19170,16937,0
3,4,0,1,37,2,10095,11348,0
