assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
17,111,2,3,5,22,16971,14755,0
14,89,0,0,0,22,20601,38440,1
6,28,0,0,0,22,12949,12031,0
5,89,0,0,0,22,13066,18166,0
12,57,0,0,0,22,9359,11394,1
6,91,0,2,0,22,5141,5453,0
12,9,0,0,0,22,20331,20830,0
10,111,3,1,6,2,7723,7202,0
19,91,6,1,31,22,9458,9709,0
4,89,0,2,40,2,6919,8672,0
6,90,1,3,14,2,15686,16375,0
1,90,0,0,0,22,10425,9299,0
12,7,0,0,0,22,12341,11743,0
14,7,3,2,36,22,20640,17435,1
18,97,0,0,0,1,19818,15642,1
6,23,0,0,0,1,9061,8515,0
28,88,4,1,2,2,22452,14066,1
10,27,2,1,19,2,9909,8004,0
8,27,3,1,17,2,15089,11807,1
27,27,3,1,12,2,33314,19064,1
2,119,5,2,13,2,7821,6457,0
15,7,1,3,2,2,8539,5891,1
16,27,2,3,21,2,17386,12193,1
7,33,1,2,64,2,7854,8643,0
14,33,1,3,71,2,7972,9155,1
3,90,0,1,13,2,5759,4903,0
12,107,1,3,8,2,10362,10321,0
7,7,2,3,3,2,7791,6583,0
4,90,1,3,16,2,14278,10670,0
11,103,0,3,4,2,5508,4896,0
15,88,1,4,18,2,12254,8955,1
17,103,2,1,7,2,9424,7024,1
9,97,0,1,11,2,10045,8544,1
0,90,0,3,8,2,7181,8475,0
6,97,3,3,5,2,5979,5999,1
22,103,2,2,1,2,10391,7888,1
14,103,2,1,4,2,9464,8169,1
17,90,2,1,4,2,9454,9219,1
19,103,5,1,5,2,13360,11016,1
6,86,2,3,7,2,10576,11220,1
13,103,5,2,23,2,17107,14342,0
0,90,0,2,0,2,4141,5922,1
13,90,1,1,6,1,20741,14214,1
19,107,7,1,7,2,12782,10065,1
31,107,2,3,40,2,32579,28235,1
1,86,0,2,0,1,0,4411,0
0,86,0,2,3,2,44,5065,0
14,86,1,3,10,1,11115,9555,0
26,103,5,3,31,2,27517,16260,1
12,90,0,3,10,2,17725,13841,1
14,90,3,1,23,2,21187,18623,1
15,107,4,1,7,2,12297,11384,1
15,86,11,3,22,2,30305,17848,1
9,90,0,3,24,2,10433,10061,1
4,121,1,1,7,2,5989,5428,0
4,107,0,2,2,2,7416,5274,0
12,103,3,1,16,2,12611,12123,1
23,107,5,2,8,2,25998,20294,1
16,121,2,2,11,2,11298,9101,1
16,107,0,1,1,2,5404,4936,1
17,55,3,1,54,2,13343,13977,0
9,107,3,2,2,2,6504,7414,0
13,121,4,1,3,2,13269,11813,0
28,91,4,3,57,2,30162,18059,1
