assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
5,8,5,1,124,2,27496,27181,0
4,1,1,1,134,2,19821,18195,0
18,72,9,3,191,2,21823,23664,1
10,12,7,1,142,2,22852,23106,1
4,109,2,1,49,2,10853,12480,0
11,56,14,3,192,2,32034,26841,1
8,95,3,3,72,2,21445,20898,0
8,72,4,3,96,2,16933,18150,0
16,93,12,1,82,2,27535,21680,1
10,10,4,3,39,2,20033,16884,0
13,10,17,1,55,2,28802,26317,1
10,12,10,3,145,2,28001,27959,1
16,93,18,1,104,2,29796,25492,1
11,77,9,3,138,2,24966,27277,1
6,109,3,1,66,2,14468,15057,0
15,109,8,1,63,2,19923,22833,1
7,114,9,3,53,2,19414,18100,0
14,109,7,1,51,2,17443,18689,1
13,41,8,3,56,2,17040,16435,1
4,41,3,3,31,2,11469,10726,0
11,41,11,3,38,2,16363,17781,1
7,12,15,1,66,2,19481,18078,1
4,77,0,0,0,2,5858,8267,1
9,77,5,1,41,2,9315,10905,0
5,49,1,3,40,2,9599,10023,0
20,77,6,3,54,2,24201,21424,0
3,12,9,3,42,2,14666,13620,0
15,12,6,1,83,2,26381,22806,0
19,114,12,1,43,22,25242,19154,1
16,114,13,1,154,22,36648,38284,1
13,94,11,2,223,3,41109,45210,1
10,10,0,0,0,3,31367,28050,1
11,109,8,1,79,3,21522,21132,1
5,39,4,2,24,3,16695,16358,0
11,26,1,1,7,22,8856,7545,0
14,25,9,2,96,22,26742,26230,1
16,52,18,2,34,22,22725,21526,1
11,12,5,1,104,22,24305,22162,0
9,11,4,2,48,3,9673,8753,0
7,8,12,3,84,2,30872,29518,1
8,109,10,1,145,2,19452,23744,1
3,93,8,1,81,2,18933,19273,0
16,10,9,1,148,2,30918,34580,1
14,44,13,3,169,2,29360,31986,1
5,93,7,1,117,2,25188,22051,0
3,77,3,1,174,2,20480,19299,0
2,48,1,3,36,2,7684,7923,0
3,113,1,2,4,2,7476,6458,0
10,72,9,3,170,2,27486,27405,1
6,12,6,3,135,2,27939,29108,1
11,41,5,3,138,2,26091,20132,0
1,109,5,1,83,2,16816,19488,0
10,63,9,1,53,2,25418,20942,0
1,109,1,3,78,2,10982,12800,0
7,8,12,3,84,2,30872,29518,1
8,109,10,1,145,2,19452,23744,1
16,10,9,1,148,2,30918,34580,1
3,93,8,1,81,2,18933,19273,0
14,44,13,3,169,2,29360,31986,1
5,93,7,1,117,2,25188,22051,0
3,77,3,1,174,2,20480,19299,0
2,48,1,3,36,2,7684,7923,0
3,113,1,2,4,2,7476,6458,0
10,72,9,3,170,2,27486,27405,1
6,12,6,3,135,2,27939,29108,1
1,109,5,1,83,2,16816,19488,0
11,41,5,3,138,2,26091,20132,0
10,63,9,1,53,2,25418,20942,0
1,109,1,3,78,2,10982,12800,0
7,9,3,2,50,2,18734,21754,0
6,6,1,3,28,2,10568,11500,0
15,8,10,3,138,2,27991,27914,1
13,88,4,1,8,2,11944,10080,0
7,8,12,3,84,2,30872,29518,1
8,109,10,1,145,2,19452,23744,1
5,93,7,1,117,2,25188,22051,0
3,77,3,1,174,2,20480,19299,0
2,48,1,3,36,2,7684,7923,0
3,113,1,2,4,2,7476,6458,0
12,114,12,1,125,22,28103,24200,1
8,67,7,1,18,22,10425,9841,1
13,12,16,1,72,3,21965,20843,1
10,72,9,3,170,2,27486,27405,1
6,12,6,3,135,2,27939,29108,1
0,8,0,0,0,3,3565,3265,0
