assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
13,52,15,2,132,22,32390,34049,1
14,113,0,0,0,22,23398,21431,0
7,86,1,2,0,22,8424,7581,0
11,74,0,0,0,1,25984,24973,0
3,78,0,0,0,1,6146,5635,0
18,23,0,0,0,1,15793,14970,1
10,98,11,2,61,2,30902,23237,1
27,17,10,2,187,2,43455,45834,1
10,19,4,2,25,2,11775,11022,0
13,19,12,2,40,2,23056,19684,0
10,38,1,3,46,2,18987,15553,0
3,102,1,3,28,2,17890,15578,0
12,106,11,3,23,2,18788,21157,1
28,102,11,1,57,2,40926,29679,1
5,108,1,1,41,2,17391,15426,0
3,57,1,1,10,2,7649,7783,0
2,39,1,2,6,2,7735,7358,0
5,13,2,2,10,2,14454,13086,0
18,9,14,2,156,2,30373,31669,1
9,41,1,2,66,2,20568,14869,0
7,13,2,2,13,2,15698,13781,0
1,9,3,2,30,2,12762,12405,0
12,39,10,2,80,2,25354,25006,1
0,17,1,2,70,2,6410,5790,0
11,11,13,2,63,2,27825,42075,0
5,25,10,2,103,2,27462,29585,1
4,43,1,2,21,2,12721,11228,0
12,17,10,2,67,2,27024,25267,0
2,22,2,2,6,2,6678,7250,0
12,88,5,2,3,2,13886,12071,0
2,99,8,2,30,16,10497,10864,1
8,84,2,2,23,16,9376,11173,1
11,21,6,2,26,16,15101,17610,0
19,11,30,2,65,2,32713,34810,1
0,11,0,3,0,2,0,7622,1
4,11,14,2,112,2,27007,27515,1
4,11,5,2,71,1,14039,14816,0
9,22,6,2,47,2,18450,17942,0
2,34,4,2,58,2,15199,17971,0
3,17,9,3,68,2,18130,16242,0
16,52,16,2,143,2,32365,47268,1
17,25,14,2,82,2,32791,31201,1
16,52,15,2,92,2,31111,31072,1
0,43,1,2,6,2,4093,4259,0
2,17,2,2,36,2,6850,6811,0
7,22,3,2,115,2,23566,20490,0
19,52,9,2,129,2,31856,25508,1
5,74,5,2,30,2,15059,13618,0
2,13,0,1,5,2,5076,5239,0
9,74,0,0,0,2,13640,12216,1
6,22,0,0,0,2,22102,20101,1
14,78,0,0,0,2,32497,25114,1
7,34,0,0,0,2,27674,26642,1
2,39,0,0,0,2,12755,12502,0
23,23,1,2,84,2,25134,20222,1
0,28,0,2,0,2,0,5422,1
23,9,11,2,94,2,32139,31854,1
10,19,12,2,75,2,32257,28761,0
5,9,4,2,76,2,21409,20235,0
5,39,3,2,28,2,14795,12981,0
9,106,19,2,68,2,17682,17799,1
18,7,0,0,0,1,13497,12262,0
25,106,0,0,0,1,25399,20110,1
16,17,0,0,0,1,32842,24262,1
11,111,0,0,0,2,6069,7353,1
16,62,2,2,4,2,13285,13509,1
5,104,0,0,0,1,12087,11821,0
13,53,0,0,0,1,28240,24699,0
4,21,0,0,0,1,7679,9904,1
18,13,8,2,4,2,12167,12029,1
16,39,14,2,47,2,30802,27106,0
0,0,0,0,0,2,0,6974,0
16,62,2,2,4,2,13285,13509,1
8,9,6,2,40,2,25568,22479,0
19,107,2,3,1,2,11970,10400,0
12,74,6,2,39,2,24601,25324,1
4,97,4,2,77,2,19648,18983,0
6,97,1,2,51,2,16496,13934,0
14,69,6,1,61,2,18945,18355,1
4,34,5,2,123,2,15854,24646,0
3,11,2,2,86,2,14725,13907,0
1,11,3,2,120,2,15039,14487,0
5,97,0,0,0,22,30607,20521,0
4,103,0,0,0,22,16041,14182,0
13,88,0,0,0,1,24742,16982,1
12,57,0,0,0,1,22446,18222,1
5,25,0,0,0,1,7806,6533,0
9,17,0,0,0,1,22456,15725,1
19,15,10,2,47,22,34095,27232,0
4,92,12,2,37,22,19129,16551,1
11,46,21,2,59,22,20379,21109,1
12,13,7,2,2,22,16123,16578,1
11,106,13,2,112,22,37852,30642,0
8,73,4,2,101,22,19936,32281,1
2,80,3,2,53,22,9636,9284,0
13,74,0,0,0,22,24073,22820,1
15,46,17,2,48,22,32562,31108,0
11,100,7,3,0,22,7206,9819,1
13,54,0,0,0,1,26741,25993,1
4,43,4,2,43,2,12506,11985,0
2,114,2,2,67,2,13797,13599,0
19,72,17,2,257,2,42100,41228,1
17,73,5,2,231,2,27285,41439,1
16,69,3,3,26,2,20700,20460,0
9,52,7,2,37,2,16920,17327,1
14,38,7,3,75,16,31011,21917,0
10,97,3,1,40,16,14098,11291,1
8,45,6,1,52,16,25339,22358,0
3,43,8,2,26,2,18721,19029,0
14,7,11,2,73,2,24333,20348,1
12,45,6,2,57,2,22939,21444,0
6,25,16,2,317,2,41955,40540,1
10,76,10,2,98,2,20982,19511,1
12,35,2,2,25,2,9966,13319,1
5,8,4,2,74,2,17886,16995,0
10,39,7,2,52,2,20495,22090,1
10,76,13,2,50,2,25467,28368,1
3,98,4,1,41,2,14105,14167,0
9,8,11,2,155,2,32377,34946,1
6,45,7,2,25,2,19385,21676,0
9,43,4,2,10,2,12465,15649,1
5,65,3,2,48,2,13863,12055,0
14,106,9,2,60,2,24356,20998,0
13,17,12,2,105,2,25049,22927,1
18,98,13,1,77,2,32466,40394,0
13,38,4,2,46,2,23834,19590,0
11,106,12,3,56,2,19570,18533,1
10,106,4,3,52,2,19232,17782,0
3,21,2,1,15,2,9025,10817,0
4,43,4,2,43,2,12506,11985,0
2,114,2,2,67,2,13797,13599,0
19,72,17,2,257,2,42100,41228,1
17,73,5,2,231,2,27285,41439,1
16,69,3,3,26,2,20700,20460,0
9,52,7,2,37,2,16920,17327,1
14,38,7,3,75,16,31011,21917,0
10,97,3,1,40,16,14098,11291,1
8,45,6,1,52,16,25339,22358,0
3,19,5,2,29,2,6892,9915,0
12,34,7,2,98,2,28204,26516,0
3,43,8,2,26,2,18721,19029,0
14,7,11,2,73,2,24333,20348,1
12,45,6,2,57,2,22939,21444,0
10,76,10,2,98,2,20982,19511,1
6,25,16,2,317,2,41955,40540,1
12,35,2,2,25,2,9966,13319,1
5,8,4,2,74,2,17886,16995,0
10,39,7,2,52,2,20495,22090,1
10,76,13,2,50,2,25467,28368,1
3,98,4,1,41,2,14105,14167,0
9,8,11,2,155,2,32377,34946,1
7,13,6,2,18,22,16280,16203,0
22,65,7,2,45,2,15933,15825,1
11,88,7,2,19,2,13517,13517,1
12,15,8,2,45,2,28141,27099,1
8,95,0,0,0,1,23383,17039,0
5,26,0,0,0,1,17651,17693,1
5,74,0,0,0,1,21945,16279,0
22,38,0,0,0,1,32374,26411,1
4,43,4,2,43,2,12506,11985,0
2,114,2,2,67,2,13797,13599,0
19,72,17,2,257,2,42100,41228,1
17,73,5,2,231,2,27285,41439,1
16,69,3,3,26,2,20700,20460,0
9,52,7,2,37,2,16920,17327,1
14,38,7,3,75,16,31011,21917,0
10,97,3,1,40,16,14098,11291,1
8,45,6,1,52,16,25339,22358,0
13,16,0,0,0,22,15996,11744,0
3,19,5,2,29,2,6892,9915,0
12,34,7,2,98,2,28204,26516,0
3,43,8,2,26,2,18721,19029,0
12,45,6,2,57,2,22939,21444,0
14,7,11,2,73,2,24333,20348,1
9,74,9,2,72,22,33341,36220,0
9,46,16,2,124,22,28557,27800,1
18,45,13,2,34,22,31642,25536,0
6,25,16,2,317,2,41955,40540,1
10,76,10,2,98,2,20982,19511,1
3,9,8,2,39,2,19656,21509,1
8,15,8,2,39,2,13489,13145,1
12,39,19,2,193,16,32405,31363,1
12,22,5,2,51,16,17655,18400,1
10,98,11,2,61,2,30902,23237,1
27,17,10,2,187,2,43455,45834,1
10,19,4,2,25,2,11775,11022,0
13,19,12,2,40,2,23056,19684,0
10,98,11,2,61,2,30902,23237,1
27,17,10,2,187,2,43455,45834,1
10,19,4,2,25,2,11775,11022,0
13,19,12,2,40,2,23056,19684,0
10,38,1,3,46,2,18987,15553,0
3,102,1,3,28,2,17890,15578,0
12,106,11,3,23,2,18788,21157,1
28,102,11,1,57,2,40926,29679,1
5,108,1,1,41,2,17391,15426,0
3,57,1,1,10,2,7649,7783,0
2,39,1,2,6,2,7735,7358,0
5,13,2,2,10,2,14454,13086,0
23,7,15,2,32,2,18434,13762,1
18,9,14,2,156,2,30373,31669,1
9,41,1,2,66,2,20568,14869,0
1,9,3,2,30,2,12762,12405,0
7,13,2,2,13,2,15698,13781,0
0,17,1,2,70,2,6410,5790,0
12,39,10,2,80,2,25354,25006,1
11,11,13,2,63,2,27825,42075,0
5,25,10,2,103,2,27462,29585,1
12,17,10,2,67,2,27024,25267,0
4,43,1,2,21,2,12721,11228,0
2,22,2,2,6,2,6678,7250,0
12,88,5,2,3,2,13886,12071,0
2,99,8,2,30,16,10497,10864,1
11,21,6,2,26,16,15101,17610,0
8,84,2,2,23,16,9376,11173,1
4,11,5,2,71,1,14039,14816,0
4,11,14,2,112,2,27007,27515,1
19,11,30,2,65,2,32713,34810,1
0,11,0,3,0,2,0,7622,1
16,52,16,2,143,2,32365,47268,1
3,17,9,3,68,2,18130,16242,0
9,22,6,2,47,2,18450,17942,0
2,34,4,2,58,2,15199,17971,0
17,25,14,2,82,2,32791,31201,1
16,52,15,2,92,2,31111,31072,1
0,43,1,2,6,2,4093,4259,0
2,17,2,2,36,2,6850,6811,0
7,22,3,2,115,2,23566,20490,0
19,52,9,2,129,2,31856,25508,1
5,74,5,2,30,2,15059,13618,0
2,13,0,1,5,2,5076,5239,0
6,22,0,0,0,2,22102,20101,1
9,74,0,0,0,2,13640,12216,1
14,78,0,0,0,2,32497,25114,1
7,34,0,0,0,2,27674,26642,1
2,39,0,0,0,2,12755,12502,0
10,98,11,2,61,2,30902,23237,1
27,17,10,2,187,2,43455,45834,1
10,19,4,2,25,2,11775,11022,0
13,19,12,2,40,2,23056,19684,0
7,46,0,0,0,2,25008,26406,1
19,78,0,0,0,22,18693,12600,1
9,9,0,0,0,1,9085,7307,0
3,34,0,0,0,1,15572,16908,0
11,101,0,0,0,1,12895,12231,1
3,21,0,0,0,1,9701,10206,0
5,69,0,0,0,1,32400,27859,0
2,39,0,0,0,1,8405,8645,0
5,110,0,0,0,1,17742,14842,0
11,74,0,0,0,1,14580,15176,1
13,51,0,0,0,1,13085,14744,1
15,8,0,0,0,1,17442,18723,1
1,29,0,0,0,1,10240,8202,0
9,10,0,0,0,1,22947,21498,1
12,9,0,0,0,1,14141,10276,0
12,88,0,0,0,1,14284,12534,1
11,13,0,0,0,2,31696,22635,1
14,47,0,0,0,2,20107,23707,1
14,47,0,0,0,2,19294,21924,1
9,11,16,2,189,2,34685,32364,1
4,74,11,2,36,2,12208,12638,1
3,21,8,2,33,2,17741,17591,0
5,43,5,2,32,2,17960,17548,0
15,72,6,2,97,2,23678,24228,0
9,102,6,3,28,2,14461,13306,0
33,65,11,1,36,2,31849,28640,1
9,92,8,2,54,2,20360,19323,0
9,38,5,3,38,2,15107,12158,1
18,38,10,3,51,2,21526,17347,1
9,33,4,2,19,2,10000,10940,1
13,38,5,1,50,2,22007,16029,1
5,76,7,2,42,1,18673,16996,0
12,11,7,2,71,1,18452,18513,1
8,74,3,2,55,1,18339,18784,0
5,1,13,1,245,2,30648,33273,1
8,13,13,2,51,2,31640,28792,0
6,74,5,2,150,2,37134,35928,0
15,36,10,2,69,2,27464,23714,0
10,13,4,2,3,2,7037,8268,1
4,9,2,2,86,2,16785,15248,0
12,7,8,2,24,2,15239,12617,1
8,46,2,2,230,2,25847,21667,0
13,7,9,2,30,2,20515,17721,1
14,7,6,2,48,2,18617,15707,1
6,9,6,2,23,2,11927,12190,1
14,7,14,2,31,2,20936,17068,1
16,9,14,2,99,2,30580,25578,1
3,25,3,2,80,2,14205,13303,0
