assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
10,86,2,3,1,2,13255,10020,0
9,86,0,3,8,2,8699,8094,0
19,91,5,3,31,2,22678,12292,1
19,7,2,4,19,2,14111,10361,1
5,53,1,1,12,2,6026,6586,0
29,7,6,2,52,2,27661,19078,1
11,21,4,1,13,2,14915,11670,0
9,119,3,3,3,2,12351,9737,0
19,100,4,3,0,2,19444,14441,1
22,101,7,1,11,2,10351,8576,0
24,45,2,1,22,2,17733,13139,1
16,51,5,2,8,2,17049,12984,1
21,101,8,3,20,2,25450,17877,1
21,88,3,1,12,2,18863,15210,1
11,51,4,1,2,2,11020,7867,0
23,86,1,1,7,2,14583,10338,1
10,60,5,5,15,2,12351,9986,0
21,87,5,3,4,2,9655,9004,1
21,100,3,1,1,2,11994,9889,1
5,90,1,1,25,2,8363,9292,0
22,87,5,2,0,2,10785,10816,1
27,100,5,2,0,2,16069,9685,1
4,90,0,0,0,2,5329,6807,1
11,87,1,2,3,2,7724,5708,0
5,103,0,1,0,2,6204,4773,0
16,103,4,2,18,2,16081,14614,0
9,16,2,2,2,2,9630,6796,0
23,89,1,2,4,2,19615,12211,0
5,90,1,3,18,2,12480,13011,0
4,28,0,3,10,2,6357,5993,0
19,16,2,1,19,2,22104,15344,0
22,86,4,1,15,2,23033,19643,1
14,28,2,2,16,2,12205,10474,0
4,28,1,2,2,2,6487,6671,0
31,90,2,1,29,2,27897,31511,1
19,103,2,3,26,2,12024,11385,1
22,101,6,3,22,2,16796,16243,1
0,0,0,0,0,2,0,8466,1
13,112,5,1,23,1,17067,14822,1
7,62,7,2,4,2,13125,13125,0
0,0,0,0,0,2,0,6535,0
16,7,0,5,28,2,15450,13083,1
5,16,3,5,47,2,6968,7043,0
12,62,6,2,0,2,8866,12162,1
3,91,0,2,19,2,5222,5803,0
19,9,0,0,0,2,11400,9693,1
8,62,0,0,0,2,8148,8179,0
30,16,0,0,0,2,32351,26705,1
14,7,0,0,0,2,15971,10905,0
8,64,0,0,0,2,11169,8491,1
16,42,0,0,0,2,23951,17307,0
6,86,0,0,0,2,14287,12089,0
13,9,0,0,0,2,12918,10716,1
7,57,0,0,0,2,17036,12882,1
2,68,0,0,0,2,6404,5939,0
16,16,0,0,0,2,13647,10049,1
6,9,0,0,0,2,3206,4393,0
5,31,0,0,0,2,7020,4576,0
9,27,0,0,0,2,11350,13894,1
12,27,0,0,0,2,10810,12866,1
8,83,0,0,0,2,11031,9773,1
21,7,4,2,25,2,21061,18069,1
1,69,5,2,37,2,8410,9462,0
18,62,3,2,4,2,12340,14075,1
13,87,1,1,3,2,7449,7598,1
4,75,6,1,41,2,10080,11002,0
14,62,0,2,10,2,14434,15769,1
16,18,4,1,60,2,22968,15021,1
22,100,5,1,4,2,16726,11582,1
13,121,7,3,31,2,16444,14784,0
12,79,1,3,34,2,26780,13699,1
17,88,2,1,0,2,18382,11924,1
9,27,2,3,23,2,20621,12963,0
8,45,5,3,12,2,14780,13395,0
2,88,0,1,0,2,4246,3290,0
1,91,0,3,23,2,5669,4111,0
15,91,3,1,43,2,20503,12789,1
18,51,1,3,2,2,18279,13124,1
10,62,5,2,3,2,8652,8349,0
6,89,0,2,5,2,10069,8494,0
23,29,7,1,20,2,20766,15276,1
7,69,5,1,51,2,12965,15855,0
2,20,1,1,3,2,7114,5547,0
10,107,4,2,3,2,14495,12142,0
4,103,3,1,6,2,5433,6472,0
7,62,3,2,0,2,9553,8598,0
3,92,4,1,3,2,6294,6418,0
7,7,1,2,14,2,8920,7973,0
24,87,4,1,8,2,20978,17574,1
2,21,2,2,2,2,5380,7055,0
15,69,3,2,49,2,20499,19273,1
18,65,10,4,124,2,26103,22436,0
6,42,3,5,23,2,9000,8471,0
10,86,3,3,13,2,19414,15235,1
12,86,4,1,17,2,16130,13729,0
14,26,5,3,10,2,14602,11713,0
16,18,4,1,60,2,22968,15021,1
22,100,5,1,4,2,16726,11582,1
12,79,1,3,34,2,26780,13699,1
13,121,7,3,31,2,16444,14784,0
17,88,2,1,0,2,18382,11924,1
9,27,2,3,23,2,20621,12963,0
8,45,5,3,12,2,14780,13395,0
2,88,0,1,0,2,4246,3290,0
1,91,0,3,23,2,5669,4111,0
15,91,3,1,43,2,20503,12789,1
18,51,1,3,2,2,18279,13124,1
6,89,0,2,5,2,10069,8494,0
10,62,5,2,3,2,8652,8349,0
10,107,4,2,3,2,14495,12142,0
2,20,1,1,3,2,7114,5547,0
8,32,0,2,1,2,4873,4814,0
13,104,3,1,24,2,17582,13848,0
21,86,0,0,0,22,14197,13913,1
17,107,0,0,0,22,9507,9085,0
5,103,5,2,0,2,8752,9922,0
3,58,2,2,38,2,5777,7131,0
1,60,0,4,26,2,4701,4920,0
13,112,2,1,13,2,11237,11447,1
12,110,4,1,15,2,18846,13208,0
11,60,0,0,0,22,17539,18489,1
7,41,17,1,38,2,24999,22472,1
2,10,3,2,5,2,12504,12087,0
18,9,4,3,8,2,10627,11723,1
16,18,4,1,60,2,22968,15021,1
22,100,5,1,4,2,16726,11582,1
9,27,2,3,23,2,20621,12963,0
8,45,5,3,12,2,14780,13395,0
2,88,0,1,0,2,4246,3290,0
1,91,0,3,23,2,5669,4111,0
15,91,3,1,43,2,20503,12789,1
18,51,1,3,2,2,18279,13124,1
10,62,5,2,3,2,8652,8349,0
6,89,0,2,5,2,10069,8494,0
1,19,0,0,0,3,9151,9202,0
23,29,7,1,20,2,20766,15276,1
7,69,5,1,51,2,12965,15855,0
10,86,2,3,1,2,13255,10020,0
9,86,0,3,8,2,8699,8094,0
19,7,2,4,19,2,14111,10361,1
19,91,5,3,31,2,22678,12292,1
29,7,6,2,52,2,27661,19078,1
10,86,2,3,1,2,13255,10020,0
9,86,0,3,8,2,8699,8094,0
19,7,2,4,19,2,14111,10361,1
19,91,5,3,31,2,22678,12292,1
29,7,6,2,52,2,27661,19078,1
11,21,4,1,13,2,14915,11670,0
9,119,3,3,3,2,12351,9737,0
5,53,1,1,12,2,6026,6586,0
19,100,4,3,0,2,19444,14441,1
22,101,7,1,11,2,10351,8576,0
16,51,5,2,8,2,17049,12984,1
24,45,2,1,22,2,17733,13139,1
11,51,4,1,2,2,11020,7867,0
23,86,1,1,7,2,14583,10338,1
21,101,8,3,20,2,25450,17877,1
21,100,3,1,1,2,11994,9889,1
10,60,5,5,15,2,12351,9986,0
21,87,5,3,4,2,9655,9004,1
21,88,3,1,12,2,18863,15210,1
5,90,1,1,25,2,8363,9292,0
22,87,5,2,0,2,10785,10816,1
27,100,5,2,0,2,16069,9685,1
11,87,1,2,3,2,7724,5708,0
4,90,0,0,0,2,5329,6807,1
5,103,0,1,0,2,6204,4773,0
16,103,4,2,18,2,16081,14614,0
23,89,1,2,4,2,19615,12211,0
9,16,2,2,2,2,9630,6796,0
19,16,2,1,19,2,22104,15344,0
4,28,0,3,10,2,6357,5993,0
22,86,4,1,15,2,23033,19643,1
5,90,1,3,18,2,12480,13011,0
14,28,2,2,16,2,12205,10474,0
31,90,2,1,29,2,27897,31511,1
4,28,1,2,2,2,6487,6671,0
22,101,6,3,22,2,16796,16243,1
19,103,2,3,26,2,12024,11385,1
0,0,0,0,0,2,0,8466,1
13,112,5,1,23,1,17067,14822,1
0,0,0,0,0,2,0,6535,0
7,62,7,2,4,2,13125,13125,0
16,7,0,5,28,2,15450,13083,1
12,62,6,2,0,2,8866,12162,1
5,16,3,5,47,2,6968,7043,0
3,91,0,2,19,2,5222,5803,0
19,9,0,0,0,2,11400,9693,1
14,7,0,0,0,2,15971,10905,0
30,16,0,0,0,2,32351,26705,1
8,62,0,0,0,2,8148,8179,0
8,64,0,0,0,2,11169,8491,1
6,86,0,0,0,2,14287,12089,0
13,9,0,0,0,2,12918,10716,1
16,42,0,0,0,2,23951,17307,0
2,68,0,0,0,2,6404,5939,0
7,57,0,0,0,2,17036,12882,1
10,86,2,3,1,2,13255,10020,0
9,86,0,3,8,2,8699,8094,0
19,7,2,4,19,2,14111,10361,1
19,91,5,3,31,2,22678,12292,1
29,7,6,2,52,2,27661,19078,1
11,21,4,1,13,2,14915,11670,0
9,119,3,3,3,2,12351,9737,0
16,89,6,3,10,2,16294,14998,1
26,89,3,3,12,2,20801,13907,1
18,90,2,1,14,2,22659,16722,1
9,20,0,3,4,2,8780,7340,0
6,65,3,3,42,2,13222,11227,0
2,88,3,1,14,2,15388,14557,0
7,29,2,3,43,2,8603,11194,0
11,27,1,2,7,2,7179,6772,0
8,79,5,1,27,2,8521,12150,0
3,86,0,2,9,2,6185,6408,0
20,23,3,3,10,2,14000,10666,1
3,64,0,0,0,2,5295,5393,0
15,16,0,0,0,2,22446,16453,1
8,16,0,0,0,2,11345,9691,0
6,101,0,0,0,2,22345,17202,1
4,34,0,0,0,2,32721,45895,0
4,86,0,0,0,2,6770,8016,0
16,9,0,0,0,2,19451,15528,1
9,27,0,0,0,2,6981,9094,1
2,52,0,0,0,2,3043,6324,1
8,68,0,0,0,2,13511,12411,0
5,86,0,0,0,2,3443,5206,1
4,27,0,0,0,2,8988,9674,0
5,86,0,0,0,2,6402,5626,0
7,83,0,0,0,2,7425,7144,1
4,87,0,0,0,2,6370,5586,0
7,27,0,0,0,2,13856,12714,1
23,69,4,1,19,2,13855,12640,1
3,108,1,1,31,2,13719,10856,0
14,97,2,3,21,2,12278,7961,1
17,97,2,3,32,2,14689,9651,1
17,97,2,3,32,2,14689,9651,1
18,20,5,2,3,2,14444,10750,1
2,20,1,3,2,2,5738,4579,0
2,20,1,3,2,2,5738,4579,0
18,20,5,2,3,2,14444,10750,1
7,52,5,3,11,2,4703,6648,1
7,52,5,3,11,2,4703,6648,1
16,88,0,3,7,2,10201,8584,1
16,88,0,3,7,2,10201,8584,1
9,120,4,1,55,2,18830,15979,0
9,120,4,1,55,2,18830,15979,0
14,7,1,2,10,2,14276,11475,1
14,7,1,2,10,2,14276,11475,1
26,100,10,3,3,2,20480,14464,0
26,100,10,3,3,2,20480,14464,0
8,100,6,3,5,2,8142,9269,0
8,100,6,3,5,2,8142,9269,0
13,97,3,2,11,2,17186,10230,1
13,97,3,2,11,2,17186,10230,1
23,91,3,1,30,2,22863,12561,1
23,91,3,1,30,2,22863,12561,1
13,86,1,1,10,2,15884,9231,0
13,86,1,1,10,2,15884,9231,0
23,91,4,1,45,2,29029,16872,0
23,91,4,1,45,2,29029,16872,0
12,100,4,1,10,2,16623,12183,1
12,100,3,3,2,2,5140,5446,1
12,100,4,1,10,2,16623,12183,1
12,100,3,3,2,2,5140,5446,1
18,107,5,4,5,3,11711,9876,1
18,107,5,4,5,3,11711,9876,1
16,18,4,1,60,2,22968,15021,1
16,18,4,1,60,2,22968,15021,1
22,100,5,1,4,2,16726,11582,1
22,100,5,1,4,2,16726,11582,1
22,107,2,3,8,2,9305,7937,1
26,100,3,3,12,2,22342,15044,1
5,100,1,3,4,2,7299,5698,0
7,19,4,1,22,3,11717,9443,0
14,19,9,2,18,3,18040,14309,0
13,25,8,1,60,3,23245,21053,1
31,83,1,1,9,3,12492,8786,1
18,50,7,3,70,3,20839,17274,0
9,100,5,1,1,3,10647,8906,0
32,107,1,1,1,3,10579,8191,1
16,86,2,1,1,3,7087,6017,0
19,86,5,3,5,3,12877,10584,1
11,100,2,2,3,3,8734,8132,0
34,110,5,1,48,3,28608,21120,1
14,111,6,1,11,3,10566,9804,0
5,26,4,1,5,2,6670,4901,0
15,27,1,3,5,2,17123,11663,0
12,79,1,3,34,2,26780,13699,1
13,121,7,3,31,2,16444,14784,0
9,121,2,1,12,2,5563,5090,1
17,88,2,1,0,2,18382,11924,1
9,27,5,1,20,2,11875,9488,1
10,86,2,3,1,2,13255,10020,0
0,23,0,2,0,2,0,4767,0
9,86,0,3,8,2,8699,8094,0
11,86,4,1,5,2,9767,8231,1
18,26,5,1,17,2,11246,8832,1
20,27,6,1,10,3,19538,13488,1
16,26,8,3,48,2,27195,19845,1
7,3,2,3,8,2,12164,9187,0
5,86,4,3,11,2,11584,10257,1
0,53,4,3,13,2,5465,6345,0
0,86,1,1,5,2,9243,8674,0
6,53,3,3,0,2,3329,4620,1
12,26,8,1,2,2,9120,8322,1
15,53,7,3,56,2,12622,14212,1
15,27,2,1,56,2,17884,13013,1
13,27,1,1,23,2,8910,7896,1
5,18,2,1,5,2,4879,4361,0
16,16,5,1,34,2,24575,14928,1
14,18,2,1,17,2,12223,8951,1
23,121,6,3,30,3,18646,16641,1
9,86,1,1,1,2,4494,3837,1
13,91,3,3,32,2,19119,11711,1
10,86,2,1,5,2,5520,5380,1
18,121,3,1,9,2,9025,7932,1
2,86,2,3,28,2,14869,13967,0
19,86,5,1,30,2,18325,14055,1
2,21,1,3,29,2,9895,8126,0
9,86,2,3,19,2,9713,8969,1
19,91,3,1,22,2,13527,7769,1
11,79,2,3,28,2,22261,12748,0
5,64,1,1,2,2,10143,9739,0
17,27,5,3,25,2,17949,13743,1
15,21,24,3,49,3,24580,22606,1
12,86,2,3,14,2,12976,11475,1
21,107,2,2,36,2,18810,11221,1
12,86,3,3,8,2,10532,10900,1
12,121,3,1,19,22,15608,15412,0
18,86,6,3,30,2,18400,13581,1
16,86,5,3,17,2,16161,11377,1
15,86,9,1,24,2,20987,14186,1
3,31,8,1,1,2,10088,9087,0
5,96,1,3,29,2,12746,9356,0
17,86,3,3,17,2,21143,14482,0
9,27,2,3,23,2,20621,12963,0
8,45,5,3,12,2,14780,13395,0
13,81,4,1,27,2,15448,10743,1
16,96,11,3,44,2,16655,12999,1
10,25,5,1,16,2,14933,11800,1
10,27,3,1,6,2,13935,11680,1
14,96,6,3,60,2,14376,13567,1
