assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
8,55,0,1,77,2,12110,10367,0
15,39,0,0,0,1,22914,15785,0
12,101,0,0,0,1,14194,9474,0
23,102,0,0,0,1,31354,14700,0
14,95,5,3,331,2,30207,27827,1
4,109,6,1,185,2,15767,18852,1
3,95,5,1,89,2,12405,13033,1
9,44,5,2,159,2,23623,20426,1
11,41,8,3,85,2,17474,18207,1
6,10,9,2,106,2,19919,21456,1
3,109,4,2,158,2,18547,20506,1
4,10,0,3,34,2,6326,5960,0
8,77,6,3,112,2,17921,14650,1
0,78,0,2,0,2,0,5966,1
21,6,11,1,193,2,25796,24152,1
10,8,15,1,69,2,23635,20387,1
5,36,3,2,9,2,10162,9710,0
3,38,2,1,3,2,7513,7853,0
11,28,2,1,5,2,11533,9191,0
11,28,5,3,17,2,14983,12690,0
21,55,2,1,72,2,23565,20754,1
5,62,3,2,2,2,7477,8237,0
4,100,2,1,3,2,6532,6633,0
10,109,10,3,194,2,23572,29255,1
18,10,13,1,167,2,30603,29609,1
12,53,9,1,64,22,24491,27883,0
16,86,0,0,0,22,13071,11883,1
5,100,3,1,5,2,7691,8049,0
7,55,3,1,70,2,13684,12642,0
4,39,0,0,0,22,9649,8803,0
1,28,4,1,6,2,8785,7731,0
7,51,3,1,3,2,11304,9261,0
23,91,0,0,0,22,14271,13047,1
10,50,0,0,0,22,7381,7625,0
14,100,0,0,0,22,10578,12915,1
23,90,0,0,0,1,28797,20065,1
4,50,0,0,0,1,11843,11621,1
23,41,10,1,100,2,32498,28365,1
9,88,7,3,16,2,16165,12558,1
10,65,2,3,67,2,10378,10455,1
6,68,0,0,0,22,7381,8226,1
12,83,0,0,0,22,27723,22072,1
14,53,6,3,68,2,13485,14474,1
14,1,0,0,0,22,32436,38014,1
28,88,0,0,0,22,25941,16788,1
6,106,4,3,68,22,19425,17567,0
6,1,0,0,0,22,32842,30504,1
10,90,0,0,0,22,24424,20882,0
14,2,0,0,0,22,24761,20226,1
20,86,0,0,0,1,16195,14773,1
1,43,0,0,0,1,10376,10351,0
5,12,6,2,205,2,22460,19585,1
9,67,3,3,133,2,13209,11648,1
13,10,12,2,236,2,31254,38234,1
17,8,14,1,160,2,28027,27905,1
0,95,0,2,0,2,0,6326,1
13,44,7,3,111,2,24348,20975,1
3,10,8,1,64,2,12885,13909,1
3,12,3,1,213,2,21228,20747,0
13,89,7,5,322,2,23060,28663,1
14,67,11,1,207,2,27679,26059,0
6,10,11,3,95,2,20097,19938,1
7,44,9,3,232,2,22600,26826,1
10,8,10,3,83,2,16215,16273,1
7,44,16,1,143,2,23026,21272,1
7,10,7,2,65,2,14774,14865,1
2,10,2,2,79,2,13188,13685,1
6,12,4,1,170,2,28194,23744,0
4,1,7,3,239,2,29831,29793,0
15,54,9,1,201,2,31824,29577,1
4,12,6,1,171,2,23889,19516,1
6,44,9,3,78,2,16355,13433,1
11,1,5,1,272,2,30951,27181,1
17,95,8,1,215,2,32704,31852,1
9,10,9,2,35,2,24336,24741,1
5,95,5,1,108,2,16477,16018,1
10,54,7,1,127,2,19074,17298,1
9,54,5,3,117,2,16624,14288,1
14,67,6,1,121,2,25314,21670,1
12,77,2,1,45,2,10659,12093,1
13,44,7,1,155,2,23775,20559,1
10,44,8,1,168,2,28355,24030,1
8,114,16,1,83,2,15847,15346,1
3,70,5,1,33,2,12634,13201,1
5,89,6,2,192,2,15633,21049,1
12,63,7,1,55,2,18389,15988,1
15,67,5,1,118,2,19994,17817,1
16,67,12,1,97,2,22368,19553,1
4,12,9,1,256,2,34765,32774,0
14,109,7,3,385,2,29197,42082,1
4,12,2,1,75,2,9651,9419,0
18,29,5,2,136,2,35307,36969,1
5,44,5,2,94,2,15226,14324,1
11,44,12,1,133,2,18979,18316,1
5,10,11,2,49,2,15927,15681,1
5,54,2,3,138,2,17500,18912,0
8,44,10,3,185,2,24125,22375,1
10,92,9,1,115,2,17352,19721,0
7,12,7,3,46,2,12010,12620,1
14,6,5,1,44,2,8361,9200,1
12,8,8,3,77,2,15777,17341,1
12,72,7,1,130,2,18396,22863,1
4,94,3,2,222,2,27351,24572,0
3,109,5,1,236,2,16399,21662,0
8,44,9,3,213,2,22836,23528,1
8,44,12,3,210,2,28512,28623,1
7,94,3,1,156,2,17215,19067,1
14,94,10,2,225,2,27829,25620,1
3,1,1,2,314,2,23843,20566,0
9,1,5,3,212,2,28251,24339,1
5,93,4,1,144,2,28165,22444,0
3,95,2,2,149,2,17339,16147,0
3,95,3,1,39,2,9535,11090,1
7,1,18,3,247,2,31868,30874,1
7,1,9,3,298,2,29607,31153,1
6,72,12,1,242,2,23783,29967,0
8,93,12,2,186,2,30221,25830,0
12,94,6,3,351,2,37802,43163,1
4,10,3,2,115,2,17580,16667,0
5,109,5,2,187,2,18906,23273,1
2,1,2,1,97,2,12044,10944,0
5,94,3,2,114,2,12695,11847,1
8,6,5,2,243,2,24418,21281,0
7,12,8,2,177,2,27396,24185,1
4,114,6,1,117,2,20437,16631,0
8,94,9,2,157,2,18379,17148,1
8,93,15,1,122,2,24313,21039,1
12,44,16,2,180,2,29526,26026,1
8,10,10,1,160,2,18632,20502,1
10,10,7,2,185,2,37882,38707,1
11,80,13,1,68,2,18428,17323,1
10,10,11,1,111,2,23476,23243,0
12,44,11,2,154,2,28380,25410,1
14,113,13,2,166,2,30909,40182,1
9,113,5,1,186,2,23656,32573,1
10,109,11,3,116,2,22302,22687,1
14,40,12,1,32,2,24232,21899,1
8,10,16,2,39,2,16998,19109,1
7,109,10,1,235,2,30323,37234,1
15,95,9,1,164,2,25759,29298,1
4,109,10,3,219,2,22828,25512,1
0,88,0,2,0,2,0,6316,1
5,113,5,1,123,2,19583,22954,0
6,12,7,2,259,2,33754,38766,0
18,109,10,3,188,2,27085,34612,1
5,12,6,2,123,2,24106,22758,1
7,10,6,2,9,2,10142,10194,1
20,109,9,1,220,2,31496,44324,1
11,113,10,3,100,2,22348,25634,1
12,10,10,2,111,2,24605,22817,1
9,73,5,2,129,2,16160,21639,1
7,109,12,1,129,2,18318,19143,1
11,17,9,3,68,2,20249,17911,1
6,109,4,3,203,2,23031,27660,0
17,4,14,1,133,2,30251,25574,1
3,40,12,2,15,2,10757,11741,1
11,10,18,2,30,2,12689,14793,1
20,9,9,2,22,2,17410,15202,1
7,48,0,3,168,2,15047,16683,0
1,94,1,2,111,2,11804,10502,0
10,6,13,3,238,2,39001,46739,0
4,10,9,2,80,2,18471,17484,1
12,94,6,2,169,2,20187,21347,1
6,59,2,2,85,2,15457,11539,0
15,63,17,1,160,2,45435,32495,1
11,10,13,3,107,2,25676,21693,1
5,1,4,3,195,2,20635,19463,0
7,6,4,1,63,2,9467,9504,1
6,10,7,2,23,2,11089,10902,1
16,10,10,1,107,2,19535,19707,1
6,6,4,3,101,2,9933,10048,1
10,42,4,1,73,2,19109,19809,0
0,99,0,2,0,2,0,5124,0
18,9,9,3,65,2,20479,17790,1
7,10,13,2,41,2,16180,16953,1
15,75,2,1,82,2,19092,22183,0
10,109,2,3,312,2,27535,34641,1
5,6,11,1,86,2,11554,14366,1
14,109,9,3,294,2,28147,35710,1
16,56,11,3,156,2,27139,24380,1
12,6,3,1,99,2,12504,13497,1
5,39,8,2,124,2,27787,20672,0
5,15,2,2,94,2,14091,13761,0
3,94,8,2,251,2,20961,25134,1
12,15,9,2,99,2,22019,20217,1
7,21,9,2,82,2,20254,17645,0
9,36,7,2,103,2,21860,19100,0
1,46,3,2,74,2,13533,13533,0
3,106,1,2,68,2,10727,9715,0
11,97,2,2,65,2,19204,15884,0
5,74,2,2,56,2,20563,16016,0
5,12,6,2,205,2,22460,19585,1
9,67,3,3,133,2,13209,11648,1
13,10,12,2,236,2,31254,38234,1
17,8,14,1,160,2,28027,27905,1
0,95,0,2,0,2,0,6326,1
13,44,7,3,111,2,24348,20975,1
3,10,8,1,64,2,12885,13909,1
3,12,3,1,213,2,21228,20747,0
13,89,7,5,322,2,23060,28663,1
14,67,11,1,207,2,27679,26059,0
6,10,11,3,95,2,20097,19938,1
7,44,9,3,232,2,22600,26826,1
10,8,10,3,83,2,16215,16273,1
7,44,16,1,143,2,23026,21272,1
7,10,7,2,65,2,14774,14865,1
2,10,2,2,79,2,13188,13685,1
6,12,4,1,170,2,28194,23744,0
4,1,7,3,239,2,29831,29793,0
15,54,9,1,201,2,31824,29577,1
4,12,6,1,171,2,23889,19516,1
6,44,9,3,78,2,16355,13433,1
11,1,5,1,272,2,30951,27181,1
17,95,8,1,215,2,32704,31852,1
5,95,5,1,108,2,16477,16018,1
9,10,9,2,35,2,24336,24741,1
10,54,7,1,127,2,19074,17298,1
9,54,5,3,117,2,16624,14288,1
14,67,6,1,121,2,25314,21670,1
12,77,2,1,45,2,10659,12093,1
13,44,7,1,155,2,23775,20559,1
10,44,8,1,168,2,28355,24030,1
8,114,16,1,83,2,15847,15346,1
3,70,5,1,33,2,12634,13201,1
5,89,6,2,192,2,15633,21049,1
12,63,7,1,55,2,18389,15988,1
15,67,5,1,118,2,19994,17817,1
16,67,12,1,97,2,22368,19553,1
4,12,9,1,256,2,34765,32774,0
14,109,7,3,385,2,29197,42082,1
4,12,2,1,75,2,9651,9419,0
5,54,2,3,138,2,17500,18912,0
18,29,5,2,136,2,35307,36969,1
11,44,12,1,133,2,18979,18316,1
5,44,5,2,94,2,15226,14324,1
5,10,11,2,49,2,15927,15681,1
8,44,10,3,185,2,24125,22375,1
10,92,9,1,115,2,17352,19721,0
14,6,5,1,44,2,8361,9200,1
7,12,7,3,46,2,12010,12620,1
12,8,8,3,77,2,15777,17341,1
12,72,7,1,130,2,18396,22863,1
4,94,3,2,222,2,27351,24572,0
3,109,5,1,236,2,16399,21662,0
8,44,9,3,213,2,22836,23528,1
8,44,12,3,210,2,28512,28623,1
3,1,1,2,314,2,23843,20566,0
7,94,3,1,156,2,17215,19067,1
9,1,5,3,212,2,28251,24339,1
5,93,4,1,144,2,28165,22444,0
14,94,10,2,225,2,27829,25620,1
3,95,2,2,149,2,17339,16147,0
7,1,18,3,247,2,31868,30874,1
3,95,3,1,39,2,9535,11090,1
6,72,12,1,242,2,23783,29967,0
7,1,9,3,298,2,29607,31153,1
5,109,5,2,187,2,18906,23273,1
8,93,12,2,186,2,30221,25830,0
12,94,6,3,351,2,37802,43163,1
4,10,3,2,115,2,17580,16667,0
2,1,2,1,97,2,12044,10944,0
5,94,3,2,114,2,12695,11847,1
8,6,5,2,243,2,24418,21281,0
7,12,8,2,177,2,27396,24185,1
4,114,6,1,117,2,20437,16631,0
8,94,9,2,157,2,18379,17148,1
8,93,15,1,122,2,24313,21039,1
12,44,16,2,180,2,29526,26026,1
8,10,10,1,160,2,18632,20502,1
10,10,7,2,185,2,37882,38707,1
11,80,13,1,68,2,18428,17323,1
10,10,11,1,111,2,23476,23243,0
12,44,11,2,154,2,28380,25410,1
14,113,13,2,166,2,30909,40182,1
9,113,5,1,186,2,23656,32573,1
14,40,12,1,32,2,24232,21899,1
10,109,11,3,116,2,22302,22687,1
7,109,10,1,235,2,30323,37234,1
8,10,16,2,39,2,16998,19109,1
15,95,9,1,164,2,25759,29298,1
4,109,10,3,219,2,22828,25512,1
0,88,0,2,0,2,0,6316,1
5,113,5,1,123,2,19583,22954,0
6,12,7,2,259,2,33754,38766,0
18,109,10,3,188,2,27085,34612,1
5,12,6,2,123,2,24106,22758,1
7,10,6,2,9,2,10142,10194,1
20,109,9,1,220,2,31496,44324,1
11,113,10,3,100,2,22348,25634,1
12,10,10,2,111,2,24605,22817,1
9,73,5,2,129,2,16160,21639,1
7,109,12,1,129,2,18318,19143,1
11,17,9,3,68,2,20249,17911,1
17,4,14,1,133,2,30251,25574,1
6,109,4,3,203,2,23031,27660,0
3,40,12,2,15,2,10757,11741,1
11,10,18,2,30,2,12689,14793,1
20,9,9,2,22,2,17410,15202,1
