assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
6,2,7,5,148,2,17332,18351,1
13,60,3,1,85,2,15094,14745,0
13,111,4,1,1,2,18654,11822,1
8,102,1,1,0,2,8593,5508,1
14,66,0,1,15,2,7604,5428,1
11,66,4,3,46,2,8950,10868,1
13,18,2,1,12,2,14664,9776,1
8,18,2,1,10,2,11787,9600,1
20,68,3,1,2,2,8445,9218,1
4,71,0,1,9,2,4186,4497,0
14,20,1,2,8,2,8301,8252,1
0,40,0,2,0,2,0,5966,1
21,5,4,1,28,2,19758,15286,1
22,5,4,1,24,2,13624,11105,1
13,66,2,3,36,2,11787,9421,0
14,66,4,1,31,2,12650,10997,0
9,20,0,1,5,2,5564,4680,0
7,52,1,3,35,2,8432,6896,0
23,60,3,3,13,2,8729,8591,1
20,60,3,3,0,2,10253,8279,1
5,85,0,3,11,2,5067,4634,0
13,31,3,1,4,2,16287,11036,1
6,85,0,1,9,2,5581,4748,0
18,3,4,1,3,2,11219,9545,1
0,58,0,2,0,2,0,4561,0
26,68,0,2,2,2,18498,17287,1
43,87,4,2,0,2,28743,22210,1
19,3,3,2,0,2,16104,10805,1
27,62,3,2,1,2,14855,13376,1
4,84,0,2,0,2,6411,5184,0
1,5,1,2,37,2,4194,4340,0
13,30,10,1,22,2,18810,17236,1
20,60,3,2,27,2,11772,11950,1
10,60,0,2,20,2,10105,8504,1
8,31,0,1,2,2,10167,7492,0
12,62,5,2,5,2,6799,8891,0
9,3,0,2,30,2,8486,8086,0
10,71,1,2,1,2,6579,6366,0
6,30,4,1,3,2,5311,5901,0
17,71,4,2,1,2,5530,7653,1
8,75,3,2,14,2,6916,7339,0
9,90,1,2,45,2,15678,17241,0
15,50,3,1,6,2,6369,7917,1
23,83,0,1,2,2,16237,12229,1
16,5,4,3,40,2,18929,15247,1
8,5,5,2,18,2,7641,7164,0
8,28,1,1,18,2,8901,7557,0
0,66,1,2,51,2,5503,6098,0
6,14,2,2,7,2,8448,8097,0
20,75,3,2,49,2,24323,19570,0
16,84,2,1,9,2,14880,12000,1
14,89,6,2,181,2,17769,19981,1
13,14,3,2,5,2,11102,10676,1
9,31,1,1,8,2,11315,11716,1
14,2,6,1,155,2,26662,24371,1
9,69,6,2,8,2,10395,10626,1
19,69,4,2,45,2,16883,17457,1
10,112,2,2,7,2,19320,17263,0
12,58,8,2,41,2,18493,17520,1
21,107,2,2,9,2,16449,14466,1
19,69,3,2,38,2,12875,13165,1
2,9,0,2,23,2,5036,5123,0
2,112,0,3,8,2,5072,5603,0
9,112,3,1,6,2,19309,14836,1
7,30,4,2,4,2,13062,11797,0
7,50,0,0,0,2,10946,12002,0
19,7,0,0,0,2,9458,9370,1
8,33,2,5,159,2,12790,13741,0
4,66,0,0,0,2,11728,13834,0
15,27,0,0,0,2,18137,18532,1
5,25,0,0,0,2,11298,12209,1
6,50,0,0,0,2,9408,9032,0
12,5,0,0,0,2,19630,17100,1
7,50,0,0,0,2,12402,11473,0
6,3,0,0,0,2,14426,12279,0
3,83,0,0,0,2,6695,9192,1
3,58,0,0,0,2,8887,8793,0
4,50,0,0,0,2,9428,8067,1
5,58,0,0,0,2,15558,14877,1
6,50,2,3,21,2,13036,12827,1
10,50,0,0,0,2,17167,15015,1
6,66,0,0,0,2,8816,9064,1
13,50,1,3,23,2,12212,11740,1
18,5,0,0,0,2,11524,11113,1
0,90,1,5,43,2,7297,9357,0
5,50,2,2,8,2,10638,11134,1
10,5,0,0,0,2,16382,14701,1
