assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
17,26,5,1,9,22,20106,14754,1
15,9,0,0,0,22,25233,23974,0
12,26,6,1,4,22,12142,11975,0
12,9,0,0,0,22,21545,21763,1
10,14,0,0,0,22,15136,10733,0
13,23,0,0,0,22,15164,15832,1
13,22,7,2,36,22,19288,17384,0
10,9,0,0,0,22,19218,17937,0
7,23,0,0,0,22,2903,3018,1
8,86,4,2,9,22,12953,12555,0
23,26,0,0,0,22,15622,12900,0
7,86,6,2,0,22,11064,9348,0
24,23,0,0,0,22,32360,32292,0
30,103,5,2,3,22,24705,17195,0
15,55,3,4,126,22,19908,17998,1
17,86,2,1,15,2,13538,12628,1
14,91,5,1,6,2,25286,20242,1
3,60,1,1,11,2,4252,4604,0
12,107,7,2,3,2,21510,14454,1
13,107,3,2,2,2,10468,10079,1
15,7,4,2,16,2,30848,21930,1
27,40,3,3,7,2,19608,18196,1
16,19,0,0,0,22,32934,23328,1
16,104,0,0,0,1,32802,24071,1
14,13,7,3,8,2,21072,15890,1
5,52,7,3,5,2,9034,8985,1
15,90,0,3,10,2,9242,6236,1
15,90,0,3,52,2,16558,12882,1
15,27,7,3,7,2,19949,13472,1
6,86,4,1,8,2,12231,12880,1
12,86,7,1,16,2,16615,13082,1
2,33,2,3,36,2,4113,6179,0
16,90,1,1,4,2,12159,10084,1
0,32,0,2,0,2,0,5966,1
19,16,3,3,6,2,21324,12840,1
16,7,7,2,3,2,17204,12132,1
9,25,6,3,9,2,13773,12886,0
20,7,3,1,0,2,22408,12030,0
8,21,1,3,1,2,9438,7878,0
8,114,2,1,0,2,7589,7167,0
20,30,13,3,10,2,14301,10211,1
16,86,3,1,13,2,12173,10857,1
4,86,4,2,2,2,8753,7371,0
16,7,4,3,10,2,25098,14329,1
6,100,1,2,1,2,6330,6164,0
19,86,4,1,0,2,14852,11468,1
0,21,0,2,0,2,0,4561,0
21,16,10,2,25,2,36054,21928,1
36,103,15,1,18,2,39485,28597,1
30,103,5,3,11,2,22373,12814,1
18,30,5,1,8,2,12686,10320,1
2,26,3,1,0,2,8513,5149,0
3,86,0,2,0,2,4672,3883,0
18,51,10,1,2,2,19266,15081,1
19,26,4,3,1,2,14297,10847,1
11,112,1,2,3,2,9948,8347,1
8,69,4,2,19,2,19119,17319,0
15,88,7,2,3,2,11750,8054,0
16,88,2,1,5,2,17284,9508,0
10,86,6,4,10,2,12946,11594,0
12,28,1,2,10,2,11178,7707,0
16,86,2,2,8,2,10363,10167,1
10,16,2,2,13,2,9292,6943,0
11,51,3,1,4,2,16246,11604,0
15,88,2,1,0,2,8648,7596,1
23,86,6,2,3,2,26924,17984,1
15,14,4,3,12,2,18929,12085,1
11,64,1,1,10,2,7588,5333,0
5,86,2,1,3,2,7598,7141,0
8,96,2,3,14,2,9521,6711,0
6,86,3,1,6,2,13848,10669,0
23,21,5,2,20,2,27024,20669,0
18,86,5,2,6,2,22348,16594,1
15,9,9,2,50,2,18510,20299,0
13,9,3,2,20,2,11757,12143,0
8,51,8,2,10,2,11597,10025,0
6,103,0,2,3,1,8309,6512,0
39,75,16,3,27,1,32388,34096,0
9,103,2,3,2,2,7581,7987,0
16,107,3,2,9,2,13154,13634,1
32,51,5,3,13,2,21593,18285,1
26,86,7,2,9,2,18362,15010,1
19,33,11,2,76,2,25258,26298,1
35,107,5,2,5,2,32669,22185,1
21,86,8,3,6,2,20368,16611,1
10,16,4,2,34,2,13647,10839,0
6,86,2,2,0,16,7700,6975,0
11,60,15,1,13,16,18980,16281,0
16,19,14,3,8,16,24552,19404,1
5,97,0,0,0,22,12375,9812,0
7,90,2,5,41,2,11514,11855,1
11,86,5,4,0,2,11518,12178,1
13,87,2,1,5,2,9207,8388,0
16,7,18,1,9,2,30996,26503,0
12,79,4,2,15,2,9838,9104,1
26,85,18,1,18,2,20157,16206,1
11,86,4,1,2,2,15280,13277,0
3,7,2,1,0,2,1835,2249,0
14,71,8,1,15,2,11920,9908,1
19,7,3,2,10,2,11733,11532,0
7,25,0,0,0,2,24711,19563,1
7,97,0,0,0,2,9649,7523,0
21,26,0,0,0,2,14043,11330,1
8,26,0,0,0,2,16206,12242,1
4,26,0,0,0,2,11404,9935,0
11,86,0,0,0,2,11147,6896,1
6,33,0,0,0,2,12069,11929,0
8,102,0,0,0,2,10179,6767,0
11,86,0,0,0,2,20467,17375,0
9,26,0,0,0,2,13471,11212,0
25,7,0,0,0,2,20501,14643,1
17,84,0,0,0,2,15601,14347,1
10,87,0,0,0,2,23473,19849,0
8,4,0,0,0,1,33332,34081,1
2,16,0,0,0,1,15086,10125,0
7,34,0,0,0,1,23031,20374,1
9,10,0,0,0,2,32131,28309,0
3,106,0,0,0,1,20392,15490,0
16,67,0,0,0,2,32634,36162,1
7,13,0,0,0,1,16442,14558,0
9,7,0,0,0,1,7113,7937,1
16,97,0,0,0,1,21763,16294,0
3,43,0,0,0,1,12182,11195,0
9,1,0,0,0,1,30636,19561,1
5,32,5,2,1,2,7397,7366,0
0,58,1,2,28,2,4648,5843,0
4,60,1,3,17,2,7368,7552,0
13,60,3,3,50,2,12912,13291,1
11,60,2,1,27,2,11848,10660,0
5,25,2,1,2,2,9497,9415,0
0,60,0,3,0,2,2139,6952,0
3,60,2,2,2,1,4008,4553,0
6,2,14,3,44,2,17064,15321,0
22,7,1,2,7,2,15805,12507,0
0,0,0,0,0,2,0,7937,1
3,33,1,4,58,2,6720,9136,0
7,60,1,1,0,2,9188,8176,0
11,11,15,2,124,22,32362,32214,0
4,105,0,0,0,22,11476,12428,0
11,9,0,0,0,22,4308,6807,1
7,9,7,2,0,22,10394,9937,0
6,40,0,0,0,22,20309,24002,1
5,92,0,0,0,22,12701,15752,1
23,40,14,2,0,22,17559,16952,0
11,14,0,0,0,22,15365,12846,0
12,86,9,1,6,22,14115,11744,0
28,33,4,3,5,22,22935,16269,1
15,11,0,0,0,22,32386,30767,1
9,11,0,0,0,22,22374,19134,0
0,21,0,0,0,22,4416,5000,0
12,86,0,0,0,22,12951,14933,1
15,7,6,1,12,2,15086,13745,1
14,20,5,3,11,2,16648,13278,1
4,68,0,0,0,2,14951,11912,0
12,30,0,0,0,2,17094,12408,1
16,33,0,0,0,2,24385,18289,0
4,7,0,0,0,2,5564,5038,0
7,26,0,0,0,2,13967,11142,0
7,86,0,0,0,2,7488,7918,1
12,86,0,0,0,2,18040,11628,0
14,7,0,0,0,2,13988,13213,1
19,86,0,0,0,2,26989,15550,1
6,7,0,0,0,2,7068,7415,1
13,26,0,0,0,2,26283,17451,0
8,86,0,0,0,2,9855,8532,1
7,30,0,0,0,2,12009,10539,0
7,30,0,0,0,2,12009,10539,0
7,75,0,0,0,2,17036,16779,1
7,75,0,0,0,2,17036,16779,1
12,11,0,0,0,22,23199,21285,1
21,86,0,0,0,2,15409,12458,1
8,7,0,0,0,2,9550,8799,0
24,86,0,0,0,1,23700,16400,1
15,16,0,0,0,2,19658,14577,1
7,9,0,0,0,22,25499,22484,1
2,74,0,0,0,22,2655,3274,0
11,19,0,0,0,2,14139,11252,1
14,26,0,0,0,2,23781,13190,1
14,30,0,0,0,2,21087,14630,1
14,74,0,0,0,2,14544,14651,1
10,26,0,0,0,2,8366,7519,1
17,33,0,0,0,2,29411,24709,1
12,86,0,0,0,1,17666,12108,1
8,7,0,0,0,2,10094,7570,0
10,86,0,0,0,2,8989,7705,0
21,102,0,0,0,1,22335,15825,1
7,33,0,0,0,2,10541,10655,1
12,16,0,0,0,2,22575,16820,0
8,7,0,0,0,2,8344,7479,0
7,74,0,0,0,22,9675,10657,0
7,13,0,0,0,22,34244,28731,0
20,86,0,0,0,22,32348,24508,1
8,64,0,0,0,2,19075,14784,0
12,17,0,0,0,2,26871,22597,1
10,78,0,0,0,2,14426,11518,1
13,62,0,0,0,22,28277,21957,0
9,86,0,0,0,2,10271,8612,0
8,33,0,0,0,2,16032,19817,0
7,64,0,0,0,2,6364,5819,0
11,92,0,0,0,2,12994,13140,0
9,33,0,0,0,2,9682,9409,1
13,92,0,0,0,2,19764,18137,1
15,13,0,0,0,1,20066,17684,1
13,16,0,0,0,1,19444,17061,1
19,86,0,0,0,1,28907,18081,0
8,86,0,0,0,1,17295,14315,0
11,13,0,0,0,2,26754,19537,1
8,2,0,0,0,1,32680,26707,1
23,48,14,1,78,2,30016,20120,1
16,86,3,3,14,3,15770,11126,1
22,7,9,1,0,22,21214,13829,1
5,8,4,1,51,22,10937,10354,0
16,7,10,2,10,3,21595,15170,1
4,26,5,3,13,3,9460,7049,0
25,107,7,2,3,3,16728,12423,1
2,76,0,0,0,22,14497,13317,0
17,14,8,1,89,22,31942,25602,0
17,41,10,3,49,22,20248,17602,1
25,22,0,0,0,22,19575,14316,1
14,106,11,1,30,22,23283,19496,1
8,107,0,0,0,22,9663,8705,0
5,7,3,2,0,22,6279,7421,0
15,107,0,0,0,22,10992,8816,0
26,7,6,2,4,22,18948,14250,1
16,33,0,0,0,22,18391,19367,1
18,16,4,2,18,22,17986,17245,1
8,7,0,0,0,22,8106,8035,0
17,86,0,0,0,22,17925,15502,1
22,7,16,2,11,22,22628,18941,1
5,16,3,1,4,22,12864,9065,0
15,16,0,0,0,22,18932,16575,1
17,33,0,0,0,22,24468,23358,1
17,7,0,0,0,22,17156,15646,1
18,89,9,2,68,22,30640,27667,1
13,27,0,0,0,2,23698,20634,0
21,13,0,0,0,1,27414,19410,1
15,89,0,0,0,1,25692,19737,0
13,49,0,0,0,1,29003,22235,1
16,30,0,0,0,1,18290,16606,1
14,5,0,0,0,1,15801,12457,1
5,74,0,0,0,1,16182,11401,0
16,51,4,1,9,2,14473,9904,1
9,86,6,1,7,2,10399,8213,1
15,97,5,3,17,2,22951,16499,1
24,29,5,3,24,2,21072,15957,1
0,83,0,2,0,2,0,6326,1
18,7,3,2,13,2,14094,10688,1
14,7,3,2,13,2,8192,7338,1
3,110,3,3,35,2,13905,13092,0
10,26,4,1,12,2,17724,11739,1
13,88,4,2,3,2,15226,11344,0
15,88,2,1,3,2,13886,9300,1
16,26,5,1,19,2,19577,14770,1
11,26,3,3,4,2,10715,7248,1
17,100,7,3,15,2,15615,11546,1
8,33,5,1,56,2,8048,11377,1
13,100,2,1,8,2,8684,7614,1
8,13,5,3,8,2,18525,16000,0
10,86,2,1,8,2,15714,12784,0
19,33,4,3,125,2,24195,23774,1
12,33,1,1,79,2,12087,15215,1
10,13,7,1,7,2,11217,8507,1
16,86,11,1,46,2,22318,15532,1
23,86,8,3,28,2,24640,16217,1
15,26,3,3,6,2,12386,9921,1
14,86,2,3,0,2,8754,6577,1
15,26,5,3,5,2,13655,9185,1
9,51,11,1,7,2,9964,8896,1
17,88,2,1,11,2,16592,13684,1
10,33,3,1,50,2,9105,9822,1
13,33,2,3,112,2,17813,17777,1
19,5,5,3,44,2,25111,19664,1
10,33,0,1,90,2,12816,12339,1
6,33,1,3,90,2,9611,9966,1
7,112,2,1,6,2,12004,11362,1
18,5,4,1,11,2,10964,8811,1
9,5,6,3,30,2,14597,12634,1
16,5,2,3,39,2,14351,12729,1
13,86,3,1,14,2,19965,14530,0
15,86,5,3,20,2,26026,21731,1
5,19,0,1,2,2,5196,4570,0
26,86,1,1,26,2,28543,22468,1
10,86,4,1,13,2,8941,8111,1
11,86,1,1,17,2,13392,10137,1
17,48,1,3,56,2,12999,9797,1
6,19,2,2,7,2,10473,10736,0
