assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
13,92,13,2,21,2,14858,12190,1
24,92,7,2,41,2,19538,14148,1
5,88,2,3,7,2,7898,7376,0
6,55,0,3,9,2,5079,5514,1
7,38,1,1,17,2,13944,13737,1
13,38,4,3,50,2,20438,20266,0
13,38,4,1,21,2,15374,13635,1
4,25,0,0,0,22,32452,31689,0
8,4,0,0,0,22,12717,13874,1
22,5,4,3,33,16,13381,13462,1
17,15,2,2,0,16,28213,22521,1
10,39,7,2,3,16,16105,14703,1
15,19,9,3,10,16,15180,13552,0
7,1,0,0,0,16,31862,28878,1
11,69,1,4,20,16,9289,10636,1
12,72,6,3,127,16,25800,24691,1
15,52,11,2,2,2,15499,16970,1
14,88,6,2,6,2,18986,14591,0
3,47,4,2,3,2,13303,13179,0
18,63,7,3,40,2,32405,24607,0
3,99,3,2,21,2,14846,15150,0
10,8,0,0,0,2,19526,19716,1
6,74,0,0,0,2,27039,24659,0
9,96,0,0,0,2,11194,8743,0
12,8,0,0,0,1,16000,14166,1
28,55,7,3,22,2,22843,20492,1
14,104,2,3,18,2,14449,12335,0
4,19,4,3,25,2,12619,11943,1
31,23,3,3,54,2,34485,28238,1
3,57,0,1,8,2,8266,9686,0
13,45,4,2,4,2,9590,8996,1
11,108,4,1,20,2,16663,14987,1
6,55,1,3,37,2,9665,10599,0
10,55,4,1,46,2,12549,12292,1
1,69,0,3,20,2,6218,6698,0
13,55,4,1,62,2,18818,19688,0
3,11,1,3,31,2,10206,9516,0
7,78,1,3,20,2,14009,11668,0
4,108,4,1,18,2,13955,12168,0
18,55,3,1,77,2,17136,15722,1
12,81,5,3,26,2,11496,12128,1
5,78,3,1,13,2,11229,10825,1
1,29,0,3,23,2,5035,5888,0
7,65,7,1,14,2,10454,9772,1
13,53,4,1,23,2,12846,12536,1
17,65,6,3,64,2,17921,14009,1
13,65,5,3,28,2,17550,13763,1
29,55,2,3,53,2,16154,14002,1
9,108,3,3,37,2,16983,15933,1
17,60,2,1,11,2,17539,14083,0
0,62,0,3,0,2,6668,5135,1
14,62,6,3,3,1,16997,15638,1
17,60,3,3,15,2,13738,11886,1
27,55,10,3,137,2,39753,36923,1
0,63,0,2,0,1,0,4327,0
0,63,0,2,0,2,0,5020,0
7,63,12,1,62,1,24180,17940,0
26,53,11,1,119,2,34587,42310,1
11,78,3,3,37,2,15125,14280,1
14,81,1,1,94,2,22806,19117,1
10,19,7,1,34,2,13445,13851,1
19,18,2,1,154,2,27755,21443,1
5,81,7,3,42,2,12509,15251,1
5,19,5,3,5,2,8255,7963,0
2,29,2,1,60,2,12339,11795,0
18,69,2,1,66,2,19772,22782,1
22,102,3,1,38,2,30277,24024,1
19,29,1,1,57,2,22313,13526,1
10,53,5,1,8,2,7779,9256,1
14,83,0,3,24,2,16645,16012,0
8,55,3,1,58,2,13210,13446,0
8,55,3,3,61,2,14250,13607,0
30,55,1,1,71,2,27303,23157,1
19,18,4,1,97,2,28225,24585,1
6,38,2,3,28,2,16069,11609,0
9,33,3,3,144,2,27775,30475,1
0,16,0,2,0,1,0,5265,0
15,55,1,1,47,2,20395,15957,1
0,28,0,3,0,2,1409,5544,0
20,38,6,1,56,2,34572,23991,1
6,28,2,1,45,1,14652,14097,0
23,55,1,3,32,2,9360,9158,1
4,108,3,3,26,2,15238,12641,0
13,57,2,3,48,2,13707,13535,1
12,49,6,1,11,2,15319,12751,1
10,55,3,3,11,2,7359,7965,1
19,55,2,1,66,2,16586,15072,1
17,16,3,3,44,2,19843,17002,1
14,16,4,1,32,2,12874,13160,1
9,16,3,1,23,2,10336,10473,1
17,23,5,2,23,2,18687,15134,1
17,111,4,1,4,2,17841,15510,1
18,36,16,1,39,2,31789,23230,0
14,16,2,3,7,2,10725,9932,1
1,55,5,3,71,2,10184,11040,0
10,16,2,1,10,2,6947,7167,1
12,14,4,1,9,2,9107,6494,0
7,16,0,1,15,2,9307,8952,1
14,28,7,3,31,2,13315,11570,1
15,16,5,1,51,2,22268,15363,1
13,38,5,3,39,2,25607,17531,1
10,16,3,1,26,2,18039,13646,1
5,38,3,3,57,2,21178,18793,1
12,6,5,1,94,2,23622,22619,1
20,40,9,2,8,2,15062,13746,1
18,49,5,2,14,2,18839,16396,1
10,53,5,1,65,2,16955,19808,0
9,53,10,3,52,2,23746,26859,1
2,58,2,3,45,2,10293,10453,0
16,23,0,3,11,2,15183,11258,0
23,64,6,3,22,2,36644,26817,0
12,53,8,3,60,2,21368,25871,0
9,63,18,3,42,2,35635,28015,1
0,71,0,2,0,2,0,4267,0
20,53,2,3,45,2,21859,21592,0
4,55,2,1,61,2,10541,10939,0
23,64,2,1,9,2,21336,13238,1
3,33,0,1,16,2,4765,4373,0
7,63,9,3,13,2,18556,13606,1
21,36,6,3,113,2,29898,22902,0
12,96,1,1,73,2,23202,22297,0
16,120,6,3,23,2,16668,13806,1
7,2,11,3,16,2,16151,14022,1
12,78,3,1,9,2,15676,10925,0
6,58,11,3,71,2,36062,28156,0
13,42,9,3,77,2,24927,24505,1
18,65,7,1,45,2,22408,21531,1
1,58,7,3,23,2,10484,10484,0
1,70,2,3,51,2,12745,11791,0
9,65,9,1,27,2,16249,16371,1
9,56,10,3,35,2,14883,15114,1
15,78,3,3,16,2,16850,12060,1
13,65,8,3,50,2,19188,16401,1
19,63,6,1,21,2,23792,16052,1
7,70,9,3,82,2,24914,19861,1
12,6,6,1,136,2,25416,22845,1
12,78,2,3,4,2,11503,10320,1
15,58,6,3,29,2,18405,14623,1
19,53,9,1,45,2,15146,15894,1
14,9,11,1,65,2,25470,22686,1
10,53,9,3,153,2,27834,34881,0
9,78,5,3,2,2,13066,11333,1
17,4,2,1,34,2,26076,21265,0
14,4,10,3,45,2,17456,15494,1
20,4,14,3,74,2,32567,29090,1
0,57,1,3,18,2,7810,8477,0
26,45,10,1,43,2,29956,26369,1
16,52,15,3,57,2,23299,21782,1
14,69,3,1,16,2,16897,14964,1
10,38,1,1,34,2,12714,10686,1
7,9,14,3,39,2,15479,15269,1
9,52,4,3,9,2,8329,9332,1
12,55,8,1,21,2,14460,18295,1
11,38,2,3,25,2,16674,13964,1
18,38,3,3,54,2,27489,26834,1
29,96,1,3,31,2,25120,16160,1
12,55,4,3,3,2,6182,7964,1
