assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
7,46,15,2,92,2,32431,32431,1
15,98,15,2,46,2,32439,36687,0
4,44,3,1,114,2,15155,14779,0
7,44,15,3,22,2,15024,16427,1
0,44,0,3,39,2,6361,6381,0
7,120,1,1,30,2,8603,9557,0
3,44,0,1,58,2,10471,10356,0
3,44,2,3,85,2,20137,17985,0
3,81,9,3,64,2,16247,16725,0
15,67,9,1,46,2,26775,21607,1
12,70,14,3,122,2,39277,35612,1
6,36,7,3,44,2,10510,12950,0
15,67,10,1,23,2,27439,21370,0
2,15,2,1,54,2,20807,20683,0
1,8,1,1,120,2,19846,20379,0
8,54,4,2,25,2,16452,19859,1
15,10,17,3,47,2,38052,38677,1
4,109,3,2,99,2,16226,20083,0
1,17,3,2,48,2,11049,10758,0
1,1,1,3,21,2,9222,8131,0
5,48,2,3,97,2,14989,15022,0
16,80,10,3,126,2,34212,33636,1
4,40,2,3,92,2,19728,15197,0
3,15,3,3,57,2,14508,13715,0
4,6,1,3,40,2,8330,8865,0
12,70,8,1,51,2,19209,20136,1
0,99,0,1,14,2,6600,6531,0
11,63,5,1,76,2,27825,30911,0
7,54,6,1,74,2,25166,24300,1
5,98,13,3,80,2,32655,32298,1
12,93,15,3,93,2,32425,36730,1
2,98,0,0,0,2,16086,16696,0
2,1,2,3,20,2,6647,7762,0
2,89,0,1,6,2,7632,15105,0
7,18,4,3,119,2,26115,24419,0
3,89,3,1,60,16,8384,9990,1
14,40,6,2,14,16,24377,20627,1
4,8,10,1,71,16,22025,27740,0
11,99,7,2,68,2,29092,26592,0
11,1,20,3,136,2,32407,41553,1
22,72,15,1,51,2,32603,31169,1
0,42,0,3,0,2,0,7622,1
12,72,6,3,35,2,18113,19710,1
7,42,2,1,17,1,15883,14201,0
10,11,0,0,0,2,32562,36285,0
7,46,8,2,114,2,19766,18038,1
9,48,1,3,82,2,17740,16394,0
4,11,0,0,0,2,32622,37519,0
9,48,11,1,126,2,27228,29555,1
7,48,3,1,42,2,14917,18353,1
2,1,2,1,85,2,25176,20547,0
6,1,0,0,0,2,22503,22537,1
5,11,7,2,128,2,27080,27498,0
6,4,5,1,69,2,20001,20038,0
14,72,0,0,0,2,14033,15347,1
1,72,2,1,30,2,13783,12753,0
7,11,10,2,111,2,21048,21746,1
9,1,6,1,121,2,28500,25381,1
12,1,12,3,169,2,32632,32799,1
9,46,17,2,90,2,32382,32482,1
4,72,8,1,66,2,16452,17853,1
15,72,10,1,90,2,30466,30294,1
14,72,4,1,71,2,14523,15493,1
1,56,0,3,59,2,9786,9128,0
7,46,10,2,154,2,28132,24503,1
10,72,12,1,87,2,25336,28308,1
4,4,13,1,108,2,26955,26617,1
4,1,10,3,111,2,28898,25701,1
9,72,7,1,76,2,21645,19562,1
5,18,5,3,245,2,32365,41884,0
8,52,7,2,65,2,24072,22187,1
4,1,8,3,178,2,32392,33797,1
10,4,7,3,55,2,19373,17719,1
5,6,5,2,144,2,32373,32844,1
0,12,4,3,39,2,13158,13638,1
0,4,14,1,90,2,28292,26261,1
11,1,6,3,148,2,31033,24300,1
