assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
5,66,2,4,49,2,5265,6291,1
10,30,3,3,14,2,12149,11252,1
10,69,5,2,38,2,15400,16030,0
13,33,3,5,115,2,15374,15478,1
25,111,5,3,8,2,21354,12303,1
15,112,0,1,1,2,8350,7623,0
7,90,0,3,0,2,12180,8492,1
26,90,2,1,14,2,30060,18739,1
6,20,0,3,4,2,5232,5204,0
15,5,1,1,8,2,7032,5845,1
19,90,4,3,1,2,19785,10977,1
5,52,5,3,6,2,7562,7767,0
12,5,2,1,6,2,9489,7329,1
4,100,0,3,9,2,2942,2691,0
10,66,1,3,22,2,10901,9699,0
4,52,4,1,7,2,6468,6641,0
8,102,0,1,3,2,10900,7599,0
8,85,2,3,6,2,6463,5680,0
13,102,5,3,5,2,14072,9292,1
9,3,4,3,2,2,9096,7428,1
3,20,2,2,38,2,10703,10070,0
2,44,10,1,136,2,21413,22177,0
4,31,0,2,4,2,6148,7909,1
0,27,0,1,2,2,5255,5448,0
11,31,1,3,0,2,7705,5418,1
16,66,2,3,6,2,9318,6959,1
12,30,2,1,10,2,8371,7939,1
17,3,3,1,2,2,7077,7626,1
23,3,2,1,4,2,15576,8896,1
8,66,0,1,6,2,8373,7932,1
17,86,3,3,1,2,23846,13305,0
0,66,0,2,0,2,0,5135,1
16,66,0,3,3,1,7952,6659,1
17,5,3,1,6,2,11797,8930,1
27,37,0,1,34,2,33369,21587,1
0,18,1,2,0,1,0,4663,0
0,18,0,5,0,2,0,5020,0
12,18,4,3,9,1,13026,9555,0
26,37,2,1,26,2,30726,17130,1
14,66,0,1,5,2,10209,7985,1
14,66,1,1,19,2,17588,11200,1
15,66,3,1,11,2,10303,9966,1
19,48,4,3,18,2,25080,13794,1
12,66,0,1,5,2,8224,5775,1
4,69,0,1,10,2,5608,4621,0
3,64,1,3,6,2,7128,5658,0
15,30,4,1,2,2,14646,10618,1
21,112,1,3,6,2,20294,19307,1
17,69,4,2,11,2,12961,10325,1
16,85,1,3,5,2,4712,5871,1
13,86,2,3,4,2,15469,10494,0
4,110,1,3,6,2,10682,9806,0
9,96,3,1,9,2,10628,8496,0
26,71,5,2,2,2,25731,13675,1
23,85,2,3,7,2,19931,11425,1
4,111,1,1,2,2,7576,6201,0
22,121,6,1,8,2,23310,19832,1
0,71,0,2,0,1,0,5265,0
15,121,2,2,2,2,14746,9684,1
0,18,0,2,0,2,0,5544,0
22,121,6,1,7,2,26367,20030,1
5,18,0,3,8,1,9702,8276,0
11,111,5,3,1,2,6691,5802,1
5,66,0,1,1,2,6594,4954,0
13,78,2,1,0,2,8928,6810,1
13,78,2,4,4,2,11806,8058,1
11,66,1,1,5,2,4848,4917,1
11,78,1,2,18,2,9049,7808,1
16,31,4,1,1,2,14596,11243,1
13,110,6,2,3,2,13479,12077,1
13,66,5,3,5,2,4652,5664,1
18,78,5,3,4,2,15741,10195,1
9,62,12,1,60,2,20814,22864,1
15,46,1,4,95,2,20043,15938,0
11,82,9,3,29,2,9517,8894,1
2,61,0,3,44,2,7755,8197,0
14,108,5,1,2,2,7258,6563,1
5,99,5,3,34,2,13307,13355,0
13,3,1,3,4,2,7507,6299,1
15,31,4,1,0,2,10146,6903,1
11,69,3,5,22,2,12037,10917,1
13,110,6,1,33,2,16252,15512,1
15,121,0,3,0,2,11848,9618,1
7,78,0,1,5,2,14024,10225,1
23,33,2,3,39,2,20963,18435,1
19,7,2,1,2,2,11455,8821,1
16,112,4,3,0,2,15753,12956,1
8,30,2,3,9,2,9587,8557,0
12,66,1,1,42,2,21274,15433,1
5,9,4,2,23,2,12626,11348,0
7,98,9,1,41,2,26775,18812,0
