assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
8,45,8,1,24,2,15209,13697,1
2,18,3,1,32,2,6788,8186,1
4,70,7,3,61,2,20744,19156,1
13,67,10,1,99,2,32460,30228,0
10,8,6,3,66,2,22087,20035,1
11,106,0,0,0,22,21131,18372,1
18,93,0,0,0,2,32770,32973,1
5,61,0,0,0,2,21287,18426,1
8,80,0,0,0,1,19743,17327,0
4,63,0,0,0,1,10626,8682,0
3,74,0,0,0,1,4622,3767,0
13,89,0,0,0,1,32370,45096,0
12,28,0,0,0,1,25346,17423,0
21,58,0,0,0,1,28999,19481,1
14,70,16,1,37,2,25586,21433,1
10,70,10,2,46,2,21656,17255,0
5,80,1,2,84,2,19352,17864,1
16,36,20,2,107,2,38584,41057,1
2,61,2,2,82,2,14445,14417,0
10,36,4,3,15,2,9612,10457,1
8,70,14,2,47,2,19588,18241,1
3,54,5,1,31,2,13140,12877,0
11,54,0,3,25,2,11109,10466,1
2,114,5,2,20,2,7532,7219,0
8,80,4,2,66,2,15585,20973,0
2,15,3,2,28,2,10953,10206,0
5,36,5,2,31,2,16044,15276,0
6,36,4,2,39,2,10552,9866,0
14,114,4,2,55,2,18954,16698,1
10,15,7,2,38,2,14402,13189,1
4,80,6,2,74,2,14375,17117,1
1,80,2,2,48,2,14941,15271,0
8,47,3,2,89,2,11197,11377,1
18,47,5,2,118,2,14300,12512,1
15,114,5,2,28,2,16972,13865,1
6,114,9,2,22,2,11804,12092,1
9,70,11,2,48,2,19848,17696,1
8,47,4,2,72,2,17594,18272,1
11,114,8,2,67,2,21772,19612,0
0,114,0,2,0,2,5094,5135,1
11,114,7,2,25,1,15970,15771,1
15,80,4,2,51,2,21504,20130,1
13,70,17,1,167,2,39490,35738,1
0,80,0,5,0,1,252,4327,0
0,80,0,2,0,2,0,5020,0
12,80,4,2,124,1,20592,21372,0
21,36,8,1,120,2,29203,24690,1
7,114,6,1,59,2,16378,15407,1
8,92,6,2,101,2,23166,20962,1
9,80,9,2,47,2,19797,24155,1
19,40,9,2,109,2,27755,27964,1
11,114,4,2,46,2,15677,14479,1
4,92,2,1,17,2,6124,6752,0
3,54,0,3,76,2,12147,13170,0
14,54,9,3,89,2,31163,30675,1
17,47,11,2,72,2,34774,32526,1
13,54,10,3,58,2,25451,25891,1
7,92,8,2,18,2,8695,9331,1
10,54,8,1,72,2,22480,24109,0
8,114,6,2,61,2,13176,14154,0
8,50,3,2,96,2,15909,16146,0
21,29,12,2,107,2,37929,28590,1
4,15,18,2,154,2,28902,27124,1
4,114,3,2,47,2,15977,15458,0
22,40,6,2,122,2,27619,28761,1
0,54,0,2,0,1,0,5265,0
8,114,11,2,153,2,24284,19809,1
0,98,0,2,0,2,0,5544,0
14,99,5,3,140,2,36100,36326,1
5,98,5,2,76,1,26175,21502,0
8,114,13,2,33,2,12028,13524,1
3,45,7,2,14,2,13154,12163,0
10,59,4,1,43,2,11675,14251,1
13,50,9,2,40,2,16529,17769,1
8,98,6,2,7,2,10112,9991,1
6,98,9,2,68,2,27270,21126,1
10,47,9,2,51,2,21973,21658,1
11,80,10,2,68,2,21796,22051,1
10,50,6,2,33,2,11057,11738,1
9,98,12,1,40,2,24030,18138,1
9,80,8,2,107,2,24873,28771,1
15,6,15,3,157,2,31440,27117,0
11,50,10,2,35,2,11367,11783,1
2,50,3,2,74,2,14821,14710,0
7,61,7,2,123,2,12560,10000,1
3,50,9,2,78,2,11988,14723,0
5,72,7,3,38,2,12102,13333,1
16,50,7,2,56,2,13781,14445,1
8,98,8,2,40,2,28341,20750,1
16,50,6,2,72,2,23555,20963,1
7,114,7,2,67,2,21001,17706,1
7,45,12,2,14,2,24411,20935,1
20,92,5,1,67,2,37888,23680,0
12,4,10,2,70,2,30640,23885,0
22,4,9,1,95,2,21433,24551,1
0,5,0,2,0,2,0,4267,0
5,12,6,1,136,2,20713,18993,0
7,42,2,3,64,2,13359,13923,0
16,63,10,3,18,2,27014,19454,1
4,22,4,2,0,2,6198,5691,0
10,6,5,1,66,2,14607,14282,1
21,45,16,2,37,2,38412,29106,0
13,42,10,3,150,2,28417,29109,0
12,92,12,2,29,2,18470,16933,1
13,42,9,1,95,2,15138,19033,1
5,47,10,2,73,2,15780,14324,0
20,40,5,2,99,2,37477,34134,0
16,61,12,1,145,2,30420,28476,1
9,61,14,2,143,2,33303,32580,1
7,36,3,1,39,2,13869,13442,0
3,72,3,1,48,2,10742,11886,0
5,61,8,2,111,2,19432,18766,1
16,42,4,1,23,2,14016,11733,1
8,36,13,2,27,2,22378,21339,1
5,61,12,2,143,2,27228,22583,1
10,70,14,3,23,2,19124,14757,1
10,42,1,1,49,2,15233,14269,1
24,40,5,3,53,2,20400,20358,1
8,61,10,2,104,2,17277,16117,1
16,45,6,2,9,2,15159,15978,1
16,36,9,2,14,2,16702,15595,1
15,54,8,3,56,2,24639,20567,1
12,92,4,1,133,2,26820,24944,0
4,61,10,2,101,2,19626,18000,1
16,40,9,3,35,2,29738,29301,0
23,53,10,1,23,2,17057,17489,1
15,70,19,1,74,2,32220,28801,1
0,4,1,1,12,2,10318,12223,0
8,61,14,2,184,2,32835,31774,1
24,92,9,1,63,2,27808,22878,1
11,54,15,3,37,2,23699,21444,1
8,92,6,3,28,2,12480,13208,1
8,43,4,1,20,2,14757,15720,1
8,77,9,2,24,2,7859,10417,1
16,92,15,3,74,2,20406,19315,1
8,92,6,1,65,2,15080,16164,1
18,114,15,1,150,2,33915,30821,1
13,43,7,1,44,2,23319,19593,1
7,43,2,1,16,2,6455,6345,1
5,43,9,2,34,2,15658,13059,0
5,12,5,1,83,2,15163,15045,0
9,93,5,1,79,2,19294,17954,0
11,12,11,3,37,2,13384,14483,1
7,12,6,2,171,2,24027,23367,1
14,93,8,1,48,2,18976,16619,1
4,49,3,2,29,2,12257,11051,0
14,72,7,3,69,2,19480,16038,0
18,6,5,1,36,2,15745,15912,1
12,43,9,2,41,2,22590,17733,0
16,47,9,2,34,2,17970,16002,1
10,54,10,1,46,2,21944,20824,0
20,92,10,1,84,2,25417,22932,1
12,43,2,2,31,2,17698,15772,0
9,43,6,2,75,2,25492,17381,0
16,80,8,2,21,2,12521,13457,1
11,47,11,2,54,2,21785,20979,1
15,47,9,2,41,2,16622,14576,1
9,43,8,2,28,2,12642,13209,1
22,40,11,1,38,2,26260,25844,0
18,12,18,3,103,2,29440,26827,1
19,25,11,2,93,2,28588,24031,1
0,69,0,3,0,2,0,4097,0
16,43,8,1,26,2,16932,14471,1
13,25,4,2,103,2,16913,15676,1
3,80,6,2,35,2,21668,18004,0
11,25,16,2,86,2,32793,31817,1
9,93,3,3,62,2,17459,15233,0
13,80,7,2,92,2,17903,17804,1
15,54,10,3,69,2,21284,24973,1
18,47,16,2,64,2,28196,24956,1
7,92,3,2,64,2,20844,17140,0
4,15,2,3,5,2,8495,8296,0
5,80,6,2,32,2,13176,14416,0
10,47,4,2,8,2,14337,13460,1
19,35,11,2,100,2,22440,24182,1
9,80,5,1,22,2,10307,12780,1
8,47,8,2,14,2,10404,11189,1
6,47,9,3,12,2,17474,16158,0
2,80,1,1,60,2,9921,11062,0
11,40,4,2,15,2,8258,13066,0
7,80,3,2,14,2,9950,12513,1
14,80,3,1,113,2,20540,28447,0
15,80,4,2,13,2,15133,16089,1
11,41,4,3,73,2,17870,17332,0
11,96,6,1,21,2,11921,10984,1
7,47,6,2,8,2,12162,10924,0
15,47,1,2,17,2,12068,13379,1
7,40,6,3,29,2,14357,16403,0
4,72,3,3,16,2,9195,9333,0
10,40,3,2,53,2,27176,27794,0
2,54,0,3,5,2,11652,10829,0
7,72,6,1,18,2,7857,9126,1
13,54,5,3,48,2,27132,25430,1
2,72,7,3,48,2,10289,11898,0
10,47,8,2,12,2,14604,15986,1
27,40,8,3,38,2,24546,24152,1
15,40,4,3,51,2,22917,23661,1
15,40,6,2,30,2,20521,17890,1
0,80,0,2,42,2,9086,14927,0
18,49,2,2,43,2,20893,18532,1
6,72,14,2,0,2,11001,13063,1
13,40,2,2,40,2,23141,21984,0
10,15,9,1,68,2,32178,33303,0
18,72,7,3,87,2,18081,16600,1
13,45,9,2,102,2,26961,23251,1
1,47,3,2,28,2,7390,8521,0
14,40,5,2,38,2,22573,20616,1
10,47,7,2,71,2,17732,17178,1
10,70,7,1,100,2,27856,24995,0
2,61,6,1,71,2,15443,16618,0
6,61,10,2,96,2,16260,17398,1
6,15,4,3,59,2,25498,19847,0
13,15,10,3,32,2,19131,16687,1
10,47,10,2,29,2,13230,15575,1
19,77,9,3,86,2,22639,20162,1
13,47,4,2,19,2,17051,18089,1
6,15,14,2,24,2,16758,15833,1
8,45,2,2,14,2,9057,8526,0
10,72,5,1,70,2,17007,15156,0
8,15,4,2,38,2,22893,19381,1
18,72,7,1,65,2,15884,21222,1
0,80,0,0,0,2,7117,7135,0
10,72,11,1,59,2,18460,19482,1
10,45,3,2,13,2,13072,11932,1
20,15,10,3,61,2,29334,30487,1
18,15,8,1,117,2,31638,33523,1
14,77,7,3,49,2,13978,13400,1
13,45,8,2,23,2,16976,16004,1
10,80,10,2,79,2,25487,30423,1
19,45,3,2,5,2,12532,12358,1
17,72,8,1,71,2,21253,20964,1
6,54,7,3,76,2,14410,14771,0
12,54,9,1,45,2,18104,16163,1
9,20,3,3,43,2,8982,9156,0
5,77,3,1,40,2,11983,10862,0
13,15,7,2,81,2,18928,18079,1
14,80,2,1,66,2,20556,26196,1
14,45,4,2,8,2,11384,12905,1
19,20,8,1,63,2,19139,20523,1
18,49,7,1,90,2,27316,21571,1
3,47,2,1,29,2,9292,10537,0
19,47,7,2,5,2,11704,13070,1
14,47,4,2,23,2,14197,11526,1
9,47,11,2,2,2,11055,11205,1
5,57,2,3,20,2,13854,13071,0
0,31,0,2,0,2,0,5532,1
15,54,7,1,124,2,39687,32422,0
8,80,11,2,173,2,42025,56687,0
7,40,0,3,40,2,7754,8488,1
10,47,6,2,27,2,17159,17726,1
6,114,1,3,18,2,11636,10597,0
6,19,14,1,22,2,15315,15184,0
11,19,11,1,80,2,19793,21720,1
11,80,6,3,46,2,18562,17323,1
14,15,6,2,56,2,19699,19077,1
23,50,3,3,4,1,13342,10255,1
7,19,10,1,29,1,12799,14223,1
11,15,2,2,30,1,11235,12741,1
4,70,5,3,32,1,10554,10175,0
14,36,8,1,4,1,17748,14434,1
18,85,9,1,1,1,22599,15318,1
17,1,11,3,164,1,31564,32292,1
5,6,7,1,74,1,19545,18067,1
19,50,6,2,13,1,21032,15384,1
16,47,7,2,31,1,17126,15714,1
17,19,20,3,88,2,21839,20265,1
16,36,5,2,5,2,13701,13883,1
9,77,4,1,9,2,9905,10362,1
14,80,3,3,92,2,23161,23409,0
13,54,17,1,15,2,19480,18514,1
17,47,4,2,96,2,36903,25336,0
3,44,2,3,87,2,11286,11136,0
13,77,18,2,40,2,22692,19006,1
8,54,11,1,40,2,22649,19358,1
7,80,5,2,17,2,13669,17081,1
7,54,17,3,60,2,26244,25989,1
7,80,3,1,51,2,16168,21115,1
7,54,9,1,10,2,12096,14313,1
8,80,3,3,40,2,16410,17050,1
6,77,10,2,18,2,10858,11136,1
7,39,10,2,90,2,30754,26751,0
3,70,8,1,85,2,16080,16240,0
6,61,8,2,150,2,18937,18742,1
13,80,4,1,138,2,24384,27557,1
15,47,15,2,46,2,29236,27320,1
16,36,7,3,37,2,19343,16521,1
10,47,4,2,7,2,11545,12112,1
16,47,9,2,45,2,22316,21517,1
4,4,5,2,38,2,17569,15400,0
4,72,1,3,46,2,10262,9885,0
13,36,9,3,55,2,27633,23887,1
7,61,5,1,56,2,23377,19970,1
6,61,7,1,103,2,23928,19377,1
18,40,3,2,27,2,13250,11437,1
