assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
12,62,2,1,1,2,6468,6764,0
20,16,7,2,42,22,20089,16227,0
5,70,0,0,0,22,16672,13518,0
8,54,9,3,50,22,27689,26386,1
10,18,0,0,0,22,26771,24733,1
20,42,0,0,0,22,14253,12987,1
10,88,0,0,0,22,18488,16410,0
26,32,0,0,0,22,22395,13832,0
10,111,0,0,0,22,7555,8688,1
8,23,12,3,31,22,24962,23978,0
15,110,0,0,0,22,20041,16306,0
8,102,7,3,5,22,11011,10263,1
11,105,0,0,0,22,33024,27625,1
14,28,12,3,92,2,32402,23815,1
27,23,0,0,0,1,16950,10546,0
10,3,0,0,0,1,10495,9757,1
5,51,0,0,0,1,11646,11575,0
7,39,0,0,0,1,23164,16341,0
5,86,1,2,6,2,7678,7996,0
12,33,3,1,72,2,10043,12410,1
3,107,1,1,0,2,4093,3411,0
3,86,0,3,6,2,6625,5696,0
7,107,4,1,5,2,8543,7795,0
5,7,1,1,11,2,8767,5877,0
10,19,1,2,0,2,6242,6122,0
18,119,11,3,8,2,21538,14983,1
33,119,9,3,6,2,39662,24684,1
11,91,2,3,13,2,9426,5872,0
20,86,3,3,1,2,19346,12434,0
6,26,1,3,5,2,10093,8273,0
2,103,2,1,5,2,11559,8927,0
15,100,6,1,1,2,13596,12785,1
35,86,3,3,5,2,24993,16745,1
6,88,0,3,6,2,9823,8622,0
2,27,0,1,4,2,5546,4003,0
3,28,1,3,0,2,3054,3589,0
8,16,6,4,1,2,10816,9347,0
23,112,2,2,3,2,15018,12187,1
7,112,3,2,0,2,12056,12421,0
5,83,3,1,0,2,8196,6015,0
3,37,0,3,1,2,6217,4492,0
12,111,8,1,2,2,16426,11208,1
1,5,0,1,10,2,3343,3429,0
18,50,1,1,1,2,22608,15147,0
13,50,0,1,4,2,11782,10266,1
31,103,2,1,1,2,19152,15726,1
9,103,2,2,10,2,8421,8352,0
18,91,0,3,1,2,5377,7267,1
19,107,0,0,0,2,14919,11685,1
9,70,0,0,0,2,20489,18829,1
12,91,3,2,3,2,4864,6647,1
3,91,0,3,3,2,4546,4249,0
13,107,3,2,13,2,15832,12733,1
16,103,4,2,2,2,12994,13659,1
7,103,4,2,8,2,12895,13418,1
8,107,2,2,3,2,9458,7680,0
16,26,2,3,19,2,12105,11523,1
19,107,4,2,3,2,14577,13371,1
14,69,4,3,45,2,26805,22138,0
4,60,2,2,4,2,3715,4485,0
11,7,6,2,5,2,13925,10539,0
7,110,1,3,5,2,7275,5959,0
20,103,4,2,1,2,12728,12200,1
5,100,3,2,0,2,12144,9957,0
10,86,0,2,2,2,7899,6588,0
23,86,7,2,3,2,26241,18800,1
1,27,2,1,5,2,3275,3677,0
16,27,1,1,9,2,18730,17217,1
11,3,2,2,0,2,6018,7038,1
11,64,0,3,8,2,4377,6657,1
15,64,2,1,8,2,17306,14602,1
1,100,0,2,0,2,5084,5285,0
4,86,3,1,17,2,11979,10021,0
9,20,0,0,0,2,20640,12964,1
11,42,0,0,0,16,25409,17743,0
8,5,0,0,0,16,10409,9099,0
10,86,0,0,0,2,15116,12209,0
7,45,0,0,0,2,14014,13011,0
21,101,0,0,0,2,21902,13852,0
3,87,0,0,0,2,2165,1717,1
16,87,0,0,0,2,9387,7364,0
9,87,0,0,0,2,6877,5131,0
7,16,0,0,0,2,8553,6493,0
8,23,0,0,0,2,3753,3434,0
1,23,0,0,0,2,5045,4260,0
14,88,0,0,0,2,14725,11786,1
16,69,0,0,0,2,12945,12424,0
14,64,0,0,0,2,18188,12275,1
6,88,0,0,0,2,5841,7642,1
5,88,0,0,0,2,6065,4555,0
4,92,0,0,0,1,5881,3954,0
4,91,0,0,0,2,5018,3577,0
3,91,0,0,0,2,4510,3469,0
8,91,0,0,0,2,9180,6008,0
16,65,0,0,0,1,32613,21665,1
3,50,0,0,0,0,9828,8370,0
2,65,0,0,0,0,8906,8387,0
7,25,12,1,36,2,22611,18806,1
